SITE|STONE|INSCRIPTIO|DOUBTFUL|INCOMPLETE|CONDITION|LEGIBILITY|SECONDARY|ORIENTATIO|NO_LINES|POSITION1|POSITION2|POSITION3|POSITION4|POSITION|INCISION|TECHNIQUE|NAMES|LANGUAGE|LING_NOTES|CARVE_ERR|SCRIPT|LETTER_HEI|PALEO_NOTE|id
KELLS|2|2|t|f|poor|"Macalister/1949, 34, `the inscriptions here recorded...are without exception the most difficult to see, not to say decipher in all Ireland...Whoever wishes to study them must come prepared to spend the entire day waiting for proper conditions of light: I have found that the lettering is most clearly seen during the few minutes when the sun is shining between the Round Tower and the `Patrick and Columba'' cross, and even then visibility varies''.

Harbison/1992, 101, `it is impossible to make out anything of the inscription now - if it ever existed.''"|f|horz|1|W|base|n/a|undecorated||inc||1|goide||0|rbook||The inscription as Macalister/1949, 35, draws it is in half-uncial.|KELLS/2/2
KENFG|1|1|f|f|poor|"Macalister/1945, 386, `The first inscription [that on the right hand edge] is much worn and chipped and I did not arrive at the reading here given till after I had examined the stone on three several occasions''.

RCAHMW/1976, 38, `much of the inscription is made uncertain by subsequent damage to the angles.''"|f|vupd|2|many|arris|n/a|undecorated|"Macalister/1945, 385, `The stone...is inscribed with Oghams reading downward, on the right hand angle : and a Roman inscription and associated Ogham, the latter reading upward on the left-hand angle.  The former seems to be the original inscription, its inversion prrobably due to the subsequent displacement of the stone.''

Nash-Williams/1950, 132, `The Ogam inscription (incomplete) is incised along both angles of the face reading upwards on l. and downwards on r.''.

RCAHMW/1976, 38, `The Ogam characters on the upper left angle of the face read upwards, those on the right edge downwards''."|inc|||inc|RCAHMW/1976, 38, `While the Roman name Pumpeius (for Pompeius) is probably rendered in the Ogams by an early Irish equivalent such as Popias, there seems to be no correlation in the remainder of the two inscriptions.'|0|ogham||"Anon/1846, 413--416, presents various speculations concerning the ogham inscription by various correspondents to Archaeologia Cambrensis.

Brash/1869, 152--153, `on the two angles of the front face of the stone are several Ogham characters. Those on the left angle are as follow :--- [figure] 

`They are situate on the top of the stone, where there is a considerable fracture or flake off at the angle, consequently the inscription is imperfect. The diagonal direction of some of the scores of the first two characters have been remarked on, but there is nothing peculiar in it beyond some freak or inadvertence in the engraving, as I have seen them similarly marked on other monuments. The second inscription on the right angle is as follows :---     [figure]

`H Q D  A H C D NG G O A 

`From the long spaces between several of the characters it is quite evident that this inscription is imperfect; that several of the letters have been obliterated, principally vowels, which being usually small circular or oval dots on the angle are generally the first to be defaced either by violence or weather. From the skeleton of the Ogham which remains, it is, however, quite evident that this is not a bilingual inscription, as any filling-up of the missing letters could not produce the equivalent of the Roman inscription. It is also worthy of remark in this, as in all similar cases, that the inscriptions are always reverse, the Roman reading from top to bottom, the Ogham from bottom to top. It is therefore evident that they are by different hands and of different dates. To my mind, the evidence of this worn and mutilated Ogham pillar-stone is that it was appropriated as the monument of a Romanised Briton after having long performed a similar office for some invading Gaedhal.''

Anon/1869, 444, `But the most singular circumstance is, that in addition to the Roman inscription there is one of well defined Ogham characters.  It has not, however (as far as ascertained), been translated.''

Westwood/1879, 20--21, `In the small figure and description of this stone which I published in the Archaeologia Cambrensis, 1846, p. 182, I directed attention to the small incised strokes in groups along the two edges of the front of the stone, those on the left side near the top being three parallel, three radiating,[2] and three radiating, and the groups on the right angle from the top having respectively 2, 5, 2, 5, 5, and 5 strokes. These I had no hesitation in regarding as Oghams. A more careful examination which I subsequently made of the stone, verified by additional rubbings, proved that I had overlooked some strokes, as seen in the result of this examination given in Pl. XII ; although, from the evanescent character of many of the strokes by time and ill-usage, it is possible that I have still overlooked some of these marks; indeed, Mr. R. R. Brash, in an article `On the Ogham inscribed Stones of Wales'' (Arch. Cambr. 1869, pp. 148--167), thus describes and figures these Oghams :---  [Here Westwood quotes Brash given above] ...

`Mr. Rhys (`The Early Inscribed Stones of Wales,'' p. 8). speaking of this stone, adopts a very different and ingenious reading of the Oghams :---`The Celtic characters are very hard to read, owing to their having been extensively worn off. With great deference to archaeologists, I venture to suggest that the following letters are to be traced on the stone : Pompei...oral...smeq . ll . n. The first part of this would be Pompei Carantoral, and the termination al would be our adjectival _-ol_ or _awl_, rendering the Latin _ius_ of Carantorius. Here a character something like the Eisteddfodic  [fig /|\] was extemporised to represent _p_, and when the scribe, if we may so term him, came to make _m_, that was done by making a long stroke across the angle of the stone as usual, but instead of making /|\ for _p_ in this instance, he left out the first line of it and placed the other two lines to lean against the _m_, thus forming a conjoint character for _mp_ which greatly puzzled me.''

`[2] The three radiating lines have much puzzled subsequent writers. Mr. Wendele (Arch. Camb. 1846, p. 413) compared them to the _bird''s-claw Ogham_ of Killarney, whilst the Rev. John Williams (ibid. p.415), with reference to the supposed Bardic alphabet, gives a legend of Einigan Gawr (the giant) and his three pillars of light, adding, `The Bardic symbol is formed of three radiating lines [fig], which it is said are intended to represent the three diverging rays of light which Einigan saw, and it is remarkable that these three lines contain all the elements of the Bardic alphabet, as there is not a single letter in it that is not formed of some of these lines. Now are those scores on the left angle of the Kenfegge stone, Glamorganshire. the last and most genuine home of Bardo-Druidism, anything more than representations of the Bardic symbol? ... If these arrow-heads had been alone on the stone I should have considered them mo"|KENFG/1/1
KENFG|1|2|f|f|some||f|verd|2|inc|narrow|n/a|undecorated|"Westwood/1879, 19, `It bears on its front face an inscription in two lines''.

Macalister/1945, 387, `on the narrower face on the stone''.

Nash-Williams/1950, 132, `The Latin inscription (Fig. 144) is in two lines reading vertically downwards''.

RCAHMW/1976, 38, `The Latin inscription set in two lines down the length of the face''."|inc||1|name|"Macalister, in Anon/1928, 374--375: `The Roman inscription, PVMPEIVS CARANTORIVS, has been known for many years; it was one of the first ancient inscriptions of Wales to attract attention, and not a few wild attempts at interpretating it have been published.  It simply contains two names; the Roman name POMPEIUS, spelt with a _u_ instead of an _o_, and another name, which later appears in the form _Cerentirus_ in the _Book of Llan Dav_---incidentally indicating by the vowel-changes that the name was accented on the penultimate syllable.

`It may be questioned whether in PVMPEIVS CARANTORIVS we have the epitaph of one person or two.  Two names in the nominative, unconnected by any indication of relationship, meet us again at Llanddewi Brefi, in the inscription DALLVS DUMELVS.  At Llangwarren, Pembrokeshire, there are two names similarly independent of one another, TEGERNACI DOBAGNI; and here again, one of those names is echoed in the associated Ogham, but not the other.  The lettering on the Langwarren stone seems to indicate that the two names were cut by different hands, and presumably at different times, pointing to the conclusion that in that case two persons, perhaps two brothers, are commemorated.  But neither the Llandewi Brefi nor the Kenfig inscriptions show any such want of uniformity in the lettering.  The question may be left unanswered.''

Macalister/1945, 387, `That these two names in the nominative case represent two persons is suggested by the rendering of one of them in the Ogham''.

RCAHMW/1976, 38, `While the Roman name Pumpeius (for Pompeius) is probably rendered in the Ogams by an early Irish equivalent such as Popias, there seems to be no correlation in the remainder of the two inscriptions.''"|0|rcaps||"Anon/1869, 444, `According to the writer in Lewis''s _Topographical Dictionary_ the inscription is POMPEIVS CARANTORIVS, but this is an error, for the name is PVMPEIVS; and although Bishop Gibson, in _Camden_, considers it a genuine Welsh inscription, it is simply a Roman inscription, though the person whose name is commemorated may have been a Romanised Briton.''

Westwood/1879, 19--20: `Roman characters, PVMPEIVS CARANTORIVS; the only doubt being as to whether the second and third letters of the top line, which are conjoined, should be VM or VN. I prefer the former reading, because if read VN the N would be reversed, whereas it is of the proper form in the second line ; whilst the transformation of the second stroke of the V into the first stroke of a conjoined M is of common occurrence. The letters were also read as VM in Camden, as mentioned below...The Welsh Britans (as the Right Reverend the Bishop of Landaff who sent me the copy [of this inscription] informed me),'' says Camden, `by adding and changing some letters thus read and make this interpretatio : _Pim bis an ear Antopius_ [given in Gough''s Camden _Purnpbus ear a''n lopius_], i.e. The five fingers of friends or neighbours killed us.'' Holland''s Camden, 1610, p. 645.

` ...As for the word Pumpeius for Pompeius, we have already observed (Lhwyd, Arch. Britan. vol. i. p. 17, col. 2) that in old inscriptions the letter V is frequently used for O [Gibson''s Camden ii, p. 23]''.

Rhys/1899, 132--133, `That is to say, Pumpeius (more usually Pompeius) Carantorius. The first letters, P and C, have been considerably damaged, probably by boys throwing stones at the old monument, for it stands unprotected by the, road-side. The VN seem to form a conjoint character for VM, though they can hardly be said to be completely joined, but no more are the two limbs of the V; otherwise we should have to read V and {N} (or N reversed). The P has a rather small top: the E is of the rounded minuscule kind, and the S in both instances is well developed somewhat below the line of the other letters. The first A shows a bulging out at the ends of the horizontal bar, while the other A is more regular and somewhat broader at the top. The N is rather straggling and carelessly formed, while the tail of the H in both instances tends to be horizontal. Lastly, the O is circular, and, as frequently happens, it is rather smaller than the other letters.''

Macalister/1945, 387, The VM in the first name is ligatured, and might pardonably be misread VN.''

Nash-Williams/1950, 132, `Roman capitals, picked and partly deepened by cutting, with half-uncial E and one ligature. The R''s have the open bow and short, nearly horizontal tail. The S''s are elongated.''

RCAHMW/1976, 38, `The Latin inscription set in two lines down the length of the face reads PVMPEIVS / CARANTORIVS, formed of fairly regular hut debased Roman capitals with a single ligature; the E is half-uncial, the S-s elongated, and both R-s have an open loop with short tail. These features indicate a mid-6th- century date.''"|KENFG/1/2
KFNTN|1|1|f|f|some|Cuppage/etal/1986, 304, argues that the I-scores may have disappeared since Macalister's time.|f|vup|1|NE|arris|below cross|undivided||pocked|Macalister/1945, 179, `the scores are pocked'.|1|name||0|ogham|||KFNTN/1/1
KFNTN|1|2|f|f|some|Cuppage/etal/1986, 304, states that `to the left of [[F]INTEN] there are vague traces of possible letters in this area, they do not conform to any recognisable pattern'.|f|vup|1|S|broad|below cross|separated||inc||1|latin||0|rbook||Macalister/1945, 179, `half-uncials'.|KFNTN/1/2
KILEG|1|1|f|t|poor|"Macalister/1945, 49--50 notes that the inscription `has all been chipped away, leaving only the tip of the H-half of an M, 3'' 1'" above the ground''. This is indicated  by an arrow in Macalister''s illustration. "|f|ind|1|n/a|arris|beside cross|ind||inc|||ind||n|ogham|||KILEG/1/1
MONAI|1|1|f|t|some||f|ind|3|ind|broad|n/a|undecorated||inc||1|goide||n|rbook||"Petrie/1878, 36: `The letters E.A. at the head of this inscription have not been explained.''

Macalister/1949, 102: `A line of writing O......EA has been battered away, apparently part of an earlier epitaph''.  [Macalister hadn''t actually seen the stone.]"|MONAI/1/1
SCRED|2|1|f|t|poor|"Langdon/1896, 362, states that the upper line was `now too defaced to decipher'' but the lower line was `quite distinct''.

Okasha/1993, 258, `The texts are now illegible''.

Thomas/1994, 286, `FILIVS IC can certainly be read''."|f|vup|2|inc|narrow|n/a|undivided|Okasha/1993, 255, `incised in a space beneath a panel of carving'.|inc|||latin||0|rcaps||Thomas/1994, 286, `The inscription is in normal capitals'.|SCRED/2/1
SCRED|2|2|t|t|poor|"Langdon/1896, 361, `now almost obliterated''.

Okasha/1993, 258, `illegible''.

"|f|horz|2|inc|broad|n/a|panel|Okasha/1993, 255, `incised in a panel [at the bottom of] the face of the shaft'.|inc|||ind|Okasha/1993, 258, is uncertain that there was ever any text at all.|0|ind|||SCRED/2/2
KLGRV|1|1|f|t|good|Macalister/1945, 281, `Bottom broken off, and with it the opening letters...but otherwise in good condition'.|f|vupd|2|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham||Macalister/1945, 281, `The side scores show a tendency to slope, parallel with the M-scores'.|KLGRV/1/1
KLGRV|2|1|f|t|some||f|vuad|1|n/a|arris|n/a|undecorated||pocked|Macalister/1945, 282, `pocked'.|1|goide||0|ogham|||KLGRV/2/1
KLGRV|3|1|f|f|good||f|vupd|2|many|arris|n/a|undecorated||pocked|Macalister/1945, 283, `pocked'.|1|goide||0|ogham|||KLGRV/3/1
KLGRV|4|1|f|t|some||f|vup|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||KLGRV/4/1
KLGRV|5|1|f|t|poor||f|vup|1|n/a|arris|n/a|undecorated||pocked|||goide||0|ogham|||KLGRV/5/1
KLGRV|6|1|f|t|some|Raftery/1969, 105, `the beginning of the inscription is...missing'.|f|vuad|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||KLGRV/6/1
KLKEE|1|1|f|t|some|Macalister/1945, 227, indicates that five letters are clear but that after the R there is `a single vowel notch...and possibly a second, after which everything is scaled away for 8.5'', and one vowel notch follows'.|f|vind|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||KLKEE/1/1
KLLAG|1|1|f|t|some|OSullivan/Sheehan/1996, 299, `The first T is difficult to discern because of the rough quartz surface on the edge of the stone. Spalling of the edge has also removed some of the notches of the first I. The area preceding the second I is also eroded'.|f|vup|1|inc|arris|beside cross|undivided||inc||1|goide||0|ogham|||KLLAG/1/1
KLLOE|1|1|f|t|good||f|vup|2|n/a|broad|below cross|other||inc||1|norse|Barnes/Hagland/Page 1997, 54--55 provides a full discussion of the linguistics of this inscription. |1|runic|155|"Macalister/1945, 58, `the T is RISTI has, by a blunder, been drawn mirror-wise, so that it is actually of the shape of a Runic L.''
"|KLLOE/1/1
KLLOE|1|2|f|t|good||f|verd|2|n/a|narrow|n/a|undecorated||inc||1|goide|Barnes/Hagland/Page/1997, 55--56, provides a discussion of the inscription, and Macalister and Marstrander's analyses of it. |0|oghms|||KLLOE/1/2
KLORG|1|1|t|t|poor|"Macalister/1945, 248, `...nothing is left but the three final vowel-notches on the top of the stone''.

O''Sullivan/Sheehan/1996, 244: `Macalister noted three vowel strokes near the top of the stone which, he suggested, represent the end of an earlier inscription. It seems equally possible, however, that they are a continuation of this inscription (information: F. Moore)''. "|f|vind|1|n/a|arris|n/a|undecorated||inc|||ind||0|ogham|||KLORG/1/1
KLORG|2|1|f|t|good||f|vup|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||KLORG/2/1
KLORG|3|1|t|f|n/a||f|n/a||n/a|broad|n/a|undecorated|Macalister/1945, 249, `...legible Ogham characters, not near the edge but `in the very middle'.'|inc|||ind||0|ogham|||KLORG/3/1
KLQAN|1|1|t|f|n/a||f|ind||n/a|n/a|n/a|ind||ind|||ind||0|ogham|||KLQAN/1/1
KLURL|1|1|f|t|some|OSullivan/Sheehan/1996, 244, `Portions of the beginning and end of the inscription have been removed...Because portions of the edge of the stone have been spalled off, the final I is no longer visible'.|f|vup|1|n/a|arris|n/a|undecorated||pocked|OSullivan/Sheehan/1996, 244, '...the scores are thin and deeply pocked'.|1|goide||0|ogham|||KLURL/1/1
KLURL|2|1|t|t|n/a|O'Sullivan/Sheehan/1996, 244, note that '...Henry suggested that the characters were `accidental  markings' (1957, 108)'.  |f|vind||n/a|arris|n/a|undecorated||ind|||ind||0|ogham|||KLURL/2/1
KLVMO|1|1|f|f|some|Macalister/1945, 130: `The inscription is worn, but legible'.|f|vup|1|n/a|arris|n/a|undecorated||inc||1|name||0|ogham|||KLVMO/1/1
KLWER|1|1|f|f|good|Macalister/1945, 110--111, `The A of NETTA is broken, but that is the only detriment which the inscription has suffered'.|f|vuad|1|n/a|arris|n/a|undecorated||punched|Macalister/1945, 110, `...punched on the stone and then cut through'.|1|goide||0|ogham|||KLWER/1/1
KMERY|1|1|f|f|good||f|vup|1|n/a|broad|beside cross|inc||pocked||1|goide||y|rbook|||KMERY/1/1
KMERY|1|2|f|f|good||f|horz|1|n/a|broad|above cross|other||pocked||1|goide||y|rbook||Macalister/1949, 25: `...AEDA comes at the end of the line, after which there are two letters erased, probably because of some mistake. The final EN forms the beginning of a second line. Perhaps the one inscription was intended to correct the others'. |KMERY/1/2
KMERY|2|1|f|f|inc||f|inc|1|inc|broad|inc|inc||inc||1|goide||n|rbook|||KMERY/2/1
KMERY|3|1|f|f|poor|"Macalister/1949, 25: `The first four lines are clear, but the remainder is very obscure and densely covered in lichen''. 

Harbison/1992. 122: `Little of nothing is visible on the panel today. It may once have born an inscription'', he goes on to quote Macalister''s reading. "|f|horz|2|W|base|below cross|panel||relief||1|goide||n|rbook|||KMERY/3/1
KMICH|1|1|f|f|poor|ermode/1907, 101, `the Ogam characters...are no thicker than cobwebs'.|t|vup|1|inc|broad|below cross|panel|Kermode/1907, 100-101, `On the face of the cross, to the right of and a little below the sculpturing...enclosed in a rectangular panel'.|cut|Kermode/1907, 101, speaks of lines `very lightly cut', and also states that the stem-line `is more deeply grooved'.||goide|Kermode/1907, 100, `a perfect alphabet...in the order as set forth in the Book of Ballymote'.|0|oghms|81|Kermode/1907, 100-101, `The alphabet here given is in Bind Ogams...the groups have been purposely made of different lengths; they are at different angles...the bind-line of the second Ogam in each of the four series is extended backwards to cap the single score preceding it'.|KMICH/1/1
KMICH|1|2|f|t|poor|Kermode/1907, 100-101, `now so weathered and worn as to be, I fear, impossible to decipher...[I] have been unable to make anything of it, except that it undoubtedly was an ogam inscription'.|t|vup|1|inc|other|n/a|undecorated|Kermode/1907, 101, `on the back of the' stone.|scratched|Kermode/1907, 100, `very lightly scratched'.||goide||0|oghms||The inscription is carved an a stem-line, and with what might be bind-oghams.|KMICH/1/2
SEDRN|2|1|f|f|poor|CISP: The letters are so faint and weathered that many commentators have missed them altogether.  The first mention of the inscription is in passing in Romilly Allen's catalogue of 1896, it was not mentioned in his original article in 1883 (RomillyAllen/1896, 303, cf. RomillyAllen/1883, 262--263).|f|horz|2|ind|broad|within quadrants|quadrant|Nash-Williams/1950, 215, `Vestiges of paired monograms are traceable in the upper and lower inter-spaces reading horizontally'.|inc|||greek||0|greek|||SEDRN/2/1
KNWEE|4|1|f|f|some|Macalister/1945, 217, `What is left is... preceded by two vowel notches.  The I is broken except I3.|f|vup|1|inc|arris|n/a|undecorated||cut|Macalister/1945, 114, `carelessly cut'.|1|goide||0|ogham|||KNWEE/4/1
STKEW|1|1|f|f|good|Okasha/1993, 248: `It is legible'.|f|verd|1|n/a|narrow|n/a|panel||inc||1|name||0|rcaps|90|"Macalister/1945, 462, `The S is half-uncial''.

Okasha/1993, 248--250, `The letters measure 6 to 9 cm. in height...The script used is predominantly a capital one... an odd form of insular S''."|STKEW/1/1
BAKIL|4|1|t|t|poor|Macalister/1949, 196: `There are vague traces of letters in the lower dexter canton - a possible B and a S, and some others - quite obscure and perhaps illusory. No epigraphic importance can be attached to this stone'.|f|inc|-1|n/a|broad|within quadrants|quadrant||ind|||ind||0|rbook|||BAKIL/4/1
BAKIL|5|1|f|t|good||f|verd|1|n/a|broad|within quadrants|quadrant||inc||1|name||0|rbook|||BAKIL/5/1
ABCAR|1|1|f|t|some|"Rhys/Wilkins/1886, 94--5: `I can trace no letters after Filius, though there is a long space blank, but the stone is covered with layers of white lime, some may yet come to light...But of the damaged letters the worst is that which I have here represented as a long _s_.  Nevertheless, no part of the letter can be said to have gone, but a bit of the stone adjoining the top of it having somehow disappeared, leaves the upper portion of the letter undefined''. 

Macalister/1945, 320--21: `The lettering...is in good condition; except that the top of the C in IACIT is broken, the proceding IA is faint, and a triangular flake has been broken from the T of TECVRI...The first letter of each line is also cut or broken away.  An appendage resembling the tail of a Q projects from the final O, but it is only a fracture''. 

"|f|verd|2|inc|broad|n/a|undecorated|The inscription runs down the broad face of the stone starting very near the top.|inc|"Macalister/1945, 320: `The lettering is pocked on the face of the stone''.

Nash-Williams/1950, 69: `lightly picked''."|1|latin|"Rhys/Wilkins/1886, 96: `As to the Latinity of the inscription I have nothing to say, except that I take _securi_ to stand for the adverb _secure_: I do not recollect meeting with it before in any form, either in Wales or Cornwall.''

Macalister/1945, 321: `The peculiar _ordo uerborum_ is capable of a very simple explanation.  The engraver worked from a copy, prepared for him on a small writing tablet.  The dictator wrote first ANNICCI FILIVS | TECVRI, in two lines, the second line coming close to the margin of the tablet.  Then, perhaps, as an afterthought, he added HIC IACIT IN HOC TVMVLO in small letters; but he had not left himself sufficient room to squeeze in the words on a third line, so he had to set them out thus--- ''

[Diagram showing the layout of the inscription]

Nash-Williams/1950, 179: `_Hic in tumulo iacit_, like the simple _Hic iacit_, is of Christian-Roman origin.  It appears in Italy in the 4th century A.D., and subsequently comes into vogue, in variant forms, in N. Africa, Gaul, and (more rarely) Spain in the 5th and 6th centuries.  It occurs in Wales on Nos. 41 [this stone], 289, and 409''. "|n|rcaps|-1|"Westwood/1876, 64: `The letters are tolerably good Roman capitals, with the exception of the minuscule h; the u is written v, and the M with the first and last strokes splaying outwards beneath. The exposed part of the stone is 32 inches long, and the letters about 2 inches high.''

Rhys/Wilkins/1886, 95--6: `The lower part [of the letter S in the second line] ...was perpendicular, so I regard it as having been the same sort of _s_ as that in _singno_ on the Caldy Stone...or as the _ss_ in _Trenegassi_ on the Cilgerran Stone...This, it will be seen, would not stand alone as a miniscule in the Abercar Stone; for there we find one _h_ (I think two), and the rounded E is more minuscule than otherwise.

`Among the other characteristics of the lettering, it may be mentioned that the N has its first limb longer than the others, especially in IN.  The letters LI form the usual ligature, the I falling below the line and attached to the extremity of the L.''

Nash-Williams/1950, 69: `Roman capitals, with half-uncial H, lightly picked.  The lengthened first stroke of the N''s may also show half uncial influence.  The ligature of LI in l. [line] 1 follows Roman cursive practice.  The A with the open cross-bar in l. 2 also approximates the cursive form.''"|ABCAR/1/1
MONAI|2|1|f|t|some||f|vind|1|ind|broad|n/a|undecorated||inc||1|goide||n|rbook||Macalister/1949, 102: `The DUB is doubtful: it is recorded by Petrie but is now broken away.'|MONAI/2/1
MONAI|3|1|f|t|n/a||f|horz|1|ind|broad|n/a|undivided|CISP: Text in a single line below the decoration.|inc||1|goide||n|rbook|||MONAI/3/1
MONAT|1|1|t|t|poor|Macalister/1945, 116, `nothing was left but the upper tips of the two M's'.|f|vind|1|n/a|arris|n/a|undecorated||inc|||goide||0|ogham|||MONAT/1/1
MONAT|1|2|f|f|good||t|vup|1|n/a|arris|n/a|undivided||inc||1|goide||0|ogham||Macalister/1945, 117--118, shows that the B and H letters have been inverted.|MONAT/1/2
MONAT|2|1|f|f|good|Macalister/1945, 118, `reading is quite clear and certain'.|f|vind|1|n/a|arris|n/a|undecorated||inc|Macalister/1945, 119, `the first name is repeated in minute pinscrapes underneath its formal presentation in the finished inscription: presumably the lapidary's memorandum of the name which he had been commissioned to carve'.|1|goide||0|ogham|||MONAT/2/1
MONAT|3|1|f|f|good|Macalister/1945, 119, `...perfectly legible'.|f|vind|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||MONAT/3/1
MONAT|4|1|f|f|inc||f|vind|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham||Macalister/1945, 119, `...minute characters'.|MONAT/4/1
MRAME|1|1|f|t|good||f|vup|1|n/a|arris|beside cross|undivided||inc||1|goide||0|ogham|||MRAME/1/1
MRSTN|1|1|t|t|n/a|Macalister/1949, 97, `unless it should by some miracle come to light oncemore, it would be a mere waste of time and space to acknowledge its existence in any way'.|f|n/a||n/a|n/a|n/a|ind||inc||1|goide||0|rbook|||MRSTN/1/1
MRTHR|1|1|f|f|good|Macalister/1945, 361, `Inscription...rather worn'.|f|vup|2|n/a|broad|n/a|undecorated|"Macalister/1945, 361, ''When the stone was standing the writing must have run vertically upward, not downward''.

Nash-Williams/1950, 170, ''vertically downwards(?)''."|pocked|"Macalister/1945, 361 ''pocked on the faces, carelessly formed''.

Nash-Williams/1950, 118, ''lightly picked''."|1|latin||0|rcaps||"Nash-Williams/1950, 118, ''Roman capitals...with half-uncial F (?) and L. Horizontal final -I in l. 2''.

The Rs have short diagonal strokes, the bars of the F slope downwards and upwards respectively, the N and O are shorter than the other letters, the Cs are quite open."|MRTHR/1/1
MTDFL|1|1|f|f|good||f|verd|1|n/a|broad|below cross|undivided|"Macalister/1949, 163, `running downward in one line''.

Nash-Williams/1950, 157, `Below [the cross], an inscription in one line reading vertically downwards''."|pocked|Nash-Williams/1950, 157, `deeply picked'.|1|name||0|rbook|150|"Westwood/1876, 5: `an inscription in rather rudely formed minuscule letters such as are found in Anglo-Saxon and Irish MSS. of the seventh, eighth, and ninth centuries. They appear to me to represent the name

`+ artbeu. 

`Respecting the second of these letters, which might be thought the most difficult to be deciphered, I have not the least doubt that it is intended for a r, which in many of our earliest manuscripts has the first stroke elongated below the line, and the second stroke deflexed, sometimes even so much as to resemble a [*]; the fourth letter appears to be a b, and the last a u of unusual form. Although I was unable to make a rubbing of the stone I was enabled to make a clear drawing of it, the letters having been well brought out by the sunlight, and which has since been fully confirmed by the examination of a rubbing made by the Rev. H. L. Jones...

`... The inscription with the cross extends to the length of 24 inches, the average height of the letters being 3 inches.''

Anon/1901, 61: `The inscription is in rudely formed Hiberno-Saxon minuscule letters, of the seventh to ninth century.''

Nash-Williams/1950, 157: `Round half-uncials''.

RCAHMW/1976, 40: `The inscription in regular half-uncials read down the length of the face consists of the one word ARTBEU, the name of the person commemorated.''"|MTDFL/1/1
RDRTH|1|1|f|f|n/a||f|verd|2|n/a|inc|n/a|undecorated||n/a||1|inc|If the interpretation of Thomas/1985, 173--174, and Thomas/1994, 284, is correct then the language of the inscription would be Latin. Okasha/1993, 219, accepts that this is `plausible', but appear to not accept it.|0|rcaps|-1|Thomas/1985, 174, suggests that the forms of M, A, and T indicate a date in the period 550-600.|RDRTH/1/1
REASK|1|1|f|f|good||f|verd|1|n/a|broad|beside cross|undivided||inc|||latin||0|rbook||Fanning/1981, 140, `an early form of Irish script'.|REASK/1/1
REASK|2|1|f|f|good||f|verd|1|n/a|broad|below cross|undivided||inc|||latin||0|rbook|||REASK/2/1
REASK|2|2|f|f|good||f|vup|1|n/a|broad|below cross|undivided||inc|||latin||0|rbook|||REASK/2/2
REDGT|1|1|f|f|good|"Macalister/1949, 184, `The inscription is in good preservation''.

Okasha/1993, 215, `The text is complete, legible and primary''."|f|horz|5|E|broad|n/a|panel||pock|Macalister/1949, 184, `pcoked and rubbed'.|1|latin||0|rbook|140|Okasha/1993, 215, `The text is set in five lines reading horizontally. It uses a predominantly insular script and the letters vary between 5 and 14 cm. in height.'|REDGT/1/1
RFILD|1|1|f|t|poor|Macalister/1945, 240, `The second angle has been chipped away, leaving only the distal tips of scores on the H-side. The vowels are all gone'.|f|vruu|2|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||RFILD/1/1
RFILD|2|1|f|f|good||f|vruu|2|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||RFILD/2/1
RFILD|3|1|f|f|n/a||f|n/a|1|n/a|arris|n/a|undecorated||inc|||ind||0|ogham|||RFILD/3/1
RFILD|4|1|f|f|good||f|vuad|1|n/a|arris|n/a|undecorated||inc||1|goide||0|ogham|||RFILD/4/1
RFILD|5|1|t|t|n/a||f|ind||n/a|arris|n/a|undecorated||ind||1|goide||0|ogham|||RFILD/5/1
RFILD|6|1|t|f|n/a||f|ind||n/a|n/a|n/a|ind||ind|||ind||0|ogham|||RFILD/6/1
RGLAS|1|1|f|f|poor||f|vruu|1|n/a|arris|mixed|inc|Macalister/1945, 19, notes that the inscription on this stone is orientated in such a way that it faces in the direction of its companion stone.  |inc||-1|goide||n|ogham|||RGLAS/1/1
RHDDL|1|1|f|f|good|"Rhys, Macalister and Nash-Williams all agree on the reading.

Rhys/1873, 4, `legends in an excellent state of preservation''.

Westwood/1879, 136, `The Roman letters are as sharp as if recently executed, as is also the case with the Oghams overlooked by Meyrick.''

Macalister/1945, 339, `all in good condition''."|f|vua|1|n/a|arris|n/a|undecorated|Nash-Williams/1950, 102, `The Ogam inscription is inscribed along the upper left-hand edge and top of the stone reading upwards'.|inc||1|name||0|ogham||Westwood/1876, 136, `with the Oghams overlooked by Meyrick. These are carefully represented in my figure, and have been read by Mr. R. R. Brash (Arch. Camb., 1869, p. 160, and Kilkenny Arch. Jour. 1860, p. 303) as consisting of a single name, that in the first line of the Roman inscription, TRENACCATLO...Professor Rhys, however (Arch. Camb., 1873, p. 74), resolves the Ogham name into Tren-ac Catlo'.|RHDDL/1/1
