SITE|STONE|INSCRIPTIO|READING|BY_WHOM|WHEN|TEXT|LING_NOTES|id
CLMAC|139|1|1|Petrie, G.|1822|"O~R~ || DOCH[O--] | IN || GORMAI[.]"||CLMAC/139/1-1
CLMAC|139|1|2|Macalister, R.A.S.|1909|"O~R~ || D[OCHO] | UI || GOR[MAIN]"||CLMAC/139/1-2
CLMAC|140|1|1|Graves, J.|1869|"O~R~ || DO[--] | BRIGTE"||CLMAC/140/1-1
CLMAC|140|1|2|Macalister, R.A.S.|1909|"OR || DOM[A]EL | BRIGTE"||CLMAC/140/1-2
CLMAC|141|1|1|Petrie, G.|1822|"O~R~ || DOGILLA | CHRIST"||CLMAC/141/1-1
CLMAC|141|1|2|Macalister, R.A.S.|1909|"[O~R~] || DOGILLA | CHRIST"||CLMAC/141/1-2
CLMAC|142|1|1|Petrie, G.|1822|"O~R~D || OMAEL | MH{I}CH{I}L"||CLMAC/142/1-1
CLMAC|143|1|1|Petrie, G.|1822|"O~R~ || ARGIL | LA || GIARAIN"||CLMAC/143/1-1
CLMAC|144|1|1|Petrie, G.|1822|"O~R~ || DOMAEL | FINNIA"||CLMAC/144/1-1
CLMAC|145|1|1|Petrie, G.|1822|"O~R~ || DOCH | OB || THAC[.]"||CLMAC/145/1-1
CLMAC|145|1|2|Macalister, R.A.S|1909|"[O~R~ || DOC]H | OB || THAC"||CLMAC/145/1-2
CLMAC|146|1|1|Graves, J.|1869|"{O}R{O}IT || [--"||CLMAC/146/1-1
CLMAC|147|1|1|Stokes, M.|1872|--]AITH||CLMAC/147/1-1
CLMAC|147|1|2|Macalister, R.A.S.|1909|--]LITH||CLMAC/147/1-2
CLMAC|148|1|1|Graves, C.|1872|MARTINI||CLMAC/148/1-1
CLMAC|148|1|2|Macalister, R.A.S.|1909|[....]IN[.]||CLMAC/148/1-2
CLMAC|148|1|3|Macalister, R.A.S.|1949|--]IN[--||CLMAC/148/1-3
CLMAC|149|1|1|Petrie, G.|1822|"O~R~DOCH || [--]DOMUG | ROINHU || BORGAN"||CLMAC/149/1-1
CLMAC|149|1|2|Macalister, R.A.S.|1909|"O~R~DOCH || [--]CENMAEL | ROINHU || LORGAN"||CLMAC/149/1-2
CLMAC|150|1|1|Macalister, R.A.S.|1909|--]C[--]M[--||CLMAC/150/1-1
CLMAC|150|1|2|Macalister, R.A.S.|1949|[--]||CLMAC/150/1-2
CLMAC|151|1|1|Macalister, R.A.S.|1909|"O[R~DO--] | GAL[--"||CLMAC/151/1-1
CLMAC|151|1|2|Macalister, R.A.S.|1949|"A[--] | GAL[--"||CLMAC/151/1-2
CLMAC|152|1|1|Petrie, G.|1822|+COLMAN||CLMAC/152/1-1
CLMAC|152|2|1|Petrie, G.|1822|BOCHT||CLMAC/152/2-1
CLMAC|153|1|1|Petrie, G.|1822|"FOR || COS"||CLMAC/153/1-1
CLMAC|154|1|1|Petrie, G.|1822|"CO || LMAN"||CLMAC/154/1-1
CLMAC|155|1|1|Graves, W.|1869|--]ODITHRAI[D]||CLMAC/155/1-1
CLMAC|156|1|1|Petrie, G.,|1872|"O~R~ ||| DOCOMG{A}N"||CLMAC/156/1-1
CLMAC|157|1|1|Petrie, G.,|1822|"O~R~ | DO | L{O} ||| AN~"||CLMAC/157/1-1
CLMAC|157|1|2|Macalister, R.A.S.|1909|"O~R~ | DO | LO~ ||| {A}N"||CLMAC/157/1-2
CLMAC|158|1|1|Petrie, G.,|1822|R~OEIN~||CLMAC/158/1-1
CLMAC|159|1|1|Petrie, G.,|1822|"THU || TGUS"||CLMAC/159/1-1
CLMAC|160|1|1|Petrie, G.,|1872|O[--]AC[--||CLMAC/160/1-1
CLMAC|161|1|1|Petrie, G.,|1822|O~RD[--]B[--]D[--||CLMAC/161/1-1
CLMAC|161|1|2|Macalister, R.A.S.|1909|O~R~DO[--][DO]B[--]D[--||CLMAC/161/1-2
CLMAC|161|1|3|Macalister, R.A.S.,|1949|O~R~D[OD]OB[--]D[--||CLMAC/161/1-3
CLMAC|162|1|1|Petrie, G.,|1822|--]TOICHTHECH[--||CLMAC/162/1-1
CLMAC|162|1|2|Macalister, R.A.S.,|1909|TOICHTHCR[--||CLMAC/162/1-2
CLMAC|163|1|1|Petrie, G.,|1822|ORTHANACH||CLMAC/163/1-1
CLMAC|165|1|1|Petrie, G.,|1822|C{U}MASA||CLMAC/165/1-1
CLMAC|166|1|1|Petrie, G.,|1822|ORITARCLE[--||CLMAC/166/1-1
CLMAC|167|1|1|Petrie, G.,|1822|"--]R || {A}RCEN"||CLMAC/167/1-1
CLMAC|168|1|1|Petrie, G.,|1822|"ORO~A[R] | [--]THIN[--"||CLMAC/168/1-1
CLMAC|169|1|1|Petrie, G.,|1822|"O~R~AR[--] || MAINA[--"||CLMAC/169/1-1
CLMAC|170|1|1|Petrie, G.,|1822|O~R~DO[C]HATHAC||CLMAC/170/1-1
CLMAC|171|1|1|Petrie, G.,|1822|"O~R~D || OFERAGAN"||CLMAC/171/1-1
CLMAC|172|1|1|Petrie, G.,|1872|ECTBR[--||CLMAC/172/1-1
CLMAC|173|1|1|Petrie, G.|1822|+AND[--||CLMAC/173/1-1
CLMAC|174|1|1|Petrie, G.,|1822|--]ANGE[--||CLMAC/174/1-1
CLMAC|175|1|1|Petrie, G.,|1822|--]ILL[--||CLMAC/175/1-1
CLMAC|176|1|1|Petrie, G.|1822|--]ILL[--||CLMAC/176/1-1
CLMAC|177|1|1|Petrie, G|1822|"[.....]AL ||| AR"||CLMAC/177/1-1
CLMAC|178|1|1|Petrie, G.|1822|"TOIC || THEG"||CLMAC/178/1-1
CLMAC|179|1|1|Petrie, G.|1822|"O~R~ || DO | M{A} || ELB | RIG || TE"||CLMAC/179/1-1
CLMAC|180|1|1|Petrie, G.|1822|"SUIBINE:M{C} | MAILA/E | HUMAI:"||CLMAC/180/1-1
CLMAC|181|1|1|Petrie, G.|1822|"--] || GG{A}N"||CLMAC/181/1-1
CLMAC|182|1|1|Petrie, G.|1822|O~RDOC{I}ORBRIU:CHRUMM||CLMAC/182/1-1
CLMAC|183|1|1|Petrie,G.|1822|"O~R DODU || BCEN | M~THAD || GGAN"||CLMAC/183/1-1
CLMAC|183|2|1|Petrie, G.|1822|"O~R~DOCONAING || M~C~CONGHAIL"||CLMAC/183/2-1
CLMAC|184|1|1|Petrie, G.|1822|--]DELLACH||CLMAC/184/1-1
CLMAC|185|1|1|Petrie, G.|1822|"O~R~DO || CHATHUL U [..]UC[--"||CLMAC/185/1-1
CLMAC|185|1|2|Macalister, R.A.S.|1909|"O~R~DO || CHATHUL U [..]UG"||CLMAC/185/1-2
CLMAC|185|1|3|Macalister, R.A.S.|1949|"O~R~DO || CATHUL U[--"||CLMAC/185/1-3
CLMAC|185|2|1|Petrie, G.|1822|"O~R~ || DOBENE | [DIC]HT"||CLMAC/185/2-1
CLMAC|186|1|1|Petrie, G.|1822|"O~R~ || DU | DOR || AID"||CLMAC/186/1-1
CLMAC|187|1|1|Petrie, G.|1872|"O~R~ || DU | DON || A/ELDAN"||CLMAC/187/1-1
CLMAC|188|1|1|Petrie, G.|1822|+RECHTAR||CLMAC/188/1-1
CLMAC|189|1|1|Petrie, G.|1822|DUNADA[CH]||CLMAC/189/1-1
CLMAC|189|1|2|Macalister, R.A.S.|1949|DUNADA||CLMAC/189/1-2
CLMAC|190|1|1|Petrie, G.|1822|"[ORD] || OMUIRIGUS | [--] || DEIC[OLA]"||CLMAC/190/1-1
CLMAC|190|1|2|Macalister, R.A.S.|1909|"[ORD] || OMURIGUS | [--] || DEIC"||CLMAC/190/1-2
CLMAC|191|1|1|Petrie, G.|1822|[.]LAITH[--||CLMAC/191/1-1
CLMAC|192|1|1|Petrie, G.|1822|"O~R~DOMU || IREDACH"||CLMAC/192/1-1
CLMAC|193|1|1|Petrie, G.|1822|"[C] || OSCRACH"||CLMAC/193/1-1
CLMAC|194|1|1|Petrie, G.|1822|"FOGAR || TA[..]"||CLMAC/194/1-1
CLMAC|195|1|1|Petrie, G.|1822|"O~R~ || DOMA | EL || [EO]AIN"||CLMAC/195/1-1
CLMAC|196|1|1|Petrie, G.|1822|TIRUCIST||CLMAC/196/1-1
CLMAC|196|1|2|Macalister, R.A.S.|1909|TINUCIST||CLMAC/196/1-2
CLMAC|196|1|3|Macalister, R.A.S.|1949|TI[N^R]UCIST||CLMAC/196/1-3
CLMAC|197|1|1|Petrie, G.|1822|"[O~R~] || DO | CH{A} || INIG"||CLMAC/197/1-1
CLMAC|197|1|2|Macalister, R.A.S.|1949|"--]DO | CH{A} || INIG"||CLMAC/197/1-2
CLMAC|198|1|1|Petrie, G.|1822|LET[--||CLMAC/198/1-1
CLMAC|199|1|1|Petrie, G.|1822|THOMAS||CLMAC/199/1-1
CLMAC|200|1|1|Petrie, G.|1822|"O~R~DO || [--]CILLIN | ICANER || NADINLECS"||CLMAC/200/1-1
CLMAC|200|1|2|Petrie, G.|1822|"O~R~DO[--] || UO[--]CILLIN | ICANER || [N]ADINLECSA"||CLMAC/200/1-2
CLMAC|200|1|3|Macalister, R.A.S.|1909|O~R~DO[--]UO[--]M[--]UINICANER[N]ADINLECSA||CLMAC/200/1-3
CLMAC|200|1|4|Macalister, R.A.S.|1949|"O~R~DO || [--]UO[--]M[--]LLIN | ICANER || [N]ADINLECSA"||CLMAC/200/1-4
CLMAC|201|1|1|Petrie, G.|1822|MAEL[--||CLMAC/201/1-1
CLMAC|201|1|2|Macalister, R.A.S.|1949|MACL[--||CLMAC/201/1-2
CLMAC|202|1|1|Petrie, G.|1822|"O~R~DOAEDM~C~[--] | M~C~TAIDGHUICELLAICHDO | RIGHUMANE"||CLMAC/202/1-1
CLMAC|202|1|2|Macalister, R.A.S.|1909|"O~R~DOAEDM~C~BIBRIA | M~C~CAIDGHUICELLAICHCA | RIGHUMANE"||CLMAC/202/1-2
CLMAC|203|1|1|Petrie, G.|1822|"[--] || ORIACAN | [--] || CORIP~"||CLMAC/203/1-1
CLMAC|203|1|2|Macalister, R.A.S.|1909|[O~R~D]ORIACAN[--]ICORIP[--||CLMAC/203/1-2
CLMAC|203|1|3|Macalister, R.A.S.|1949|ORIACAN[M]CORIP~||CLMAC/203/1-3
CLMAC|204|1|1|Petrie, G.|1872|+ORD||CLMAC/204/1-1
CLMAC|205|1|1|Petrie, G.|1872|"O~R~ || DOMA | [--]CHIL"||CLMAC/205/1-1
CLMAC|205|1|2|Macalister, R.A.S.|1949|O~R~DOMA[ELMH]ICHIL||CLMAC/205/1-2
CLMAC|206|1|1|Macalister, R.A.S.|1909|DOTHUATHAL||CLMAC/206/1-1
CLMAC|207|1|1|Petrie, G.|1872|"O~R~ || DOCHOL | M{A}N"||CLMAC/207/1-1
CLMAC|208|1|1|Bishop of Meath|1684|IAHANSHANALYMORETAGHOMURRYASPUGCLONEKEANMEE||CLMAC/208/1-1
CLMAC|209|1|1|Macalister, R.A.S.|1949|"COL | {O}RA"||CLMAC/209/1-1
CLMAC|210|1|1|Macalister, R.A.S.|1949|"MA/ELOE | NA"||CLMAC/210/1-1
CLMAC|211|1|1|Macalister, R.A.S.|1949|BAID[--||CLMAC/211/1-1
CLYDI|1|1|3|Rhys, J.|1873|ETTER[.--]V[--]TOR||CLYDI/1/1-3
CLMAC|212|1|1|Macalister, R.A.S.|1949|"O~R~ || DOFEID | IL || MID | QUI || OCCISUS{*}| SINECAUSA"||CLMAC/212/1-1
CLMAC|213|1|1|Macalister, R.A.S.|1949|--]SE[--||CLMAC/213/1-1
CLMAC|214|1|1|Macalister, R.A.S.|1949|"FER || GUS"||CLMAC/214/1-1
CLMAC|215|1|1|Macalister, R.A.S.|1949|--]ORDO[--||CLMAC/215/1-1
CLMAC|216|1|1|Macalister, R.A.S.|1949|--]L[--||CLMAC/216/1-1
CLMAC|217|1|1|Macalister, R.A.S.|1949|--]FR[--||CLMAC/217/1-1
CLMAC|218|1|1|Macalister, R.A.S.|1949|--][H]O[--||CLMAC/218/1-1
CLMAC|219|1|1|Macalister, R.A.S.|1949|--][H^N][--||CLMAC/219/1-1
CLMAC|220|1|1|Macalister, R.A.S.|1949|--]AC[--||CLMAC/220/1-1
CLMAC|221|1|1|Macalister, R.A.S.|1949|--]AC[--||CLMAC/221/1-1
CLMAC|222|1|1|Macalister, R.A.S.|1949|--]UM[--||CLMAC/222/1-1
CLMAC|223|1|1|Macalister, R.A.S.|1949|--]E[G/S][--||CLMAC/223/1-1
CLMAC|224|1|1|Macalister, R.A.S.|1949|"FA | [--"||CLMAC/224/1-1
CLMAC|225|1|1|Macalister, R.A.S.|1949|"--] || TH | [--"||CLMAC/225/1-1
CLMAC|226|1|1|Macalister, R.A.S.|1949|--]EC||CLMAC/226/1-1
CLMAC|227|1|1|Macalister, R.A.S.|1949|--]ACHT||CLMAC/227/1-1
CLMAC|228|1|1|Macalister, R.A.S.|1949|--]LA[--||CLMAC/228/1-1
CLMAC|229|1|1|Macalister, R.A.S.|1949|--]HADGG||CLMAC/229/1-1
CLMAC|229|1|2|Petrie, G.|1822|--]TADGG||CLMAC/229/1-2
CLMAC|230|1|1|Petrie, G.|1822|"+D || OCEN | NE || DIG"||CLMAC/230/1-1
CLMAC|230|1|2|Macalister, R.A.S.|1949|"[+D] || OCEN | [NE] || DIG"||CLMAC/230/1-2
CLMAC|231|1|1|Macalister, R.A.S.|1949|"--][C]TH[-- | --]RAN"||CLMAC/231/1-1
CLMAC|232|1|1|Macalister, R.A.S.|1949|"[EN]B || EO[C]"||CLMAC/232/1-1
CLMAC|233|1|1|Macalister, R.A.S.|1949|"O~R~ D || [--"||CLMAC/233/1-1
CLMAC|234|1|1|Macalister, R.A.S.|1949|--]ILL||CLMAC/234/1-1
CLMAC|235|1|1|Macalister, R.A.S.|1949|"--] || LACAI || ND"||CLMAC/235/1-1
CLMAC|236|1|1|Macalister, R.A.S.|1949|--]O[--||CLMAC/236/1-1
CLMAC|237|1|1|Macalister, R.A.S.|1949|--]AL||CLMAC/237/1-1
CLMAC|238|1|1|Macalister, R.A.S.|1949|[C]HULAINN||CLMAC/238/1-1
CLMAC|239|1|1|Macalister, R.A.S.|1949|--]RON||CLMAC/239/1-1
CLMAC|240|1|1|Macalister, R.A.S.|1949|--]REN[--||CLMAC/240/1-1
CLMAC|241|1|1|Macalister, R.A.S.|1949|"G || IL [--"||CLMAC/241/1-1
CLMAC|242|1|1|Macalister, R.A.S.|1949|"--]N || CHAI[--"||CLMAC/242/1-1
CLMAC|243|1|1|Macalister|1949|--]D[--||CLMAC/243/1-1
CLMAC|244|1|1|Macalister|1949|--]GU[--||CLMAC/244/1-1
CLMAC|245|1|1|Macalister|1949|O~R~D[--||CLMAC/245/1-1
CLMAC|246|1|1|Macalister|1949|FERGAL||CLMAC/246/1-1
CLMAC|247|1|1|Macalister|1949|--]ART||CLMAC/247/1-1
CLMAC|248|1|1|Macalister|1949|TOMMAS||CLMAC/248/1-1
CLMAC|249|1|1|Macalister, R.A.S.|1949|"SECHNAS | ACH"||CLMAC/249/1-1
CLMAC|250|1|1|Macalister, R.A.S.|1949|"O~R~ || DOSTE | F{A}N"||CLMAC/250/1-1
CLMAC|252|1|1|Macalister, R.A.S.,|1949|LECHTTOIRRDELBAIGHUICONCOBAIR||CLMAC/252/1-1
CLMAC|253|1|1|Macalister,R.A.S.,|1949|"O~R~ || DOTHU | ATH || ALSAER"||CLMAC/253/1-1
CLMAC|254|1|1|Macalister, R.A.S.,|1949|SOIRBERGE||CLMAC/254/1-1
CLMAC|255|1|1|Macalister, R.A.S.,|1949|[M]AILETOLI||CLMAC/255/1-1
CLMAC|256|1|1|Macalister, R.A.S.,|1949|RECTGUS||CLMAC/256/1-1
CLMAC|257|1|1|Macalister, R.A.S.,|1949|O~RDOFOCARTV||CLMAC/257/1-1
CLMAC|258|1|1|Macalister, R.A.S.,|1949|O~R~DOSAUBETHSAI||CLMAC/258/1-1
CLMAC|259|1|1|Macalister, R.A.S.,|1949|--]DOC[--||CLMAC/259/1-1
CLMAC|260|1|1|Macalister, R.A.S.,|1949|"O~R~T~ || DO | CAN | AN || DEN"||CLMAC/260/1-1
CLMAC|261|1|1|Macalister,R.A.S.,|1949|--]RAEL||CLMAC/261/1-1
CLMAC|262|1|1|Manning/Moore|1991|NADAV[--||CLMAC/262/1-1
CLMAC|263|1|1|King, H.,|1992|FOGARTACH||CLMAC/263/1-1
CLMOR|1|1|1|Macalister, R.A.S.|1945|--]RENI||CLMOR/1/1-1
CLMOR|2|1|1|inc|1991|"[--]
"||CLMOR/2/1-1
CLONC|1|1|1|Macalister, R.A.S.|1949|"--]ANODUBDAGANDORI[-- | --]OGSODODOMNALLOR[-- | --]SUNN[--"||CLONC/1/1-1
CLONM|1|1|1|Macalister, R. A. S.|1949|"COL | ORA"||CLONM/1/1-1
CLOOM|1|1|1|Macalister, R.A.S.|1945|QUENUVEN[--||CLOOM/1/1-1
CLOOM|1|1|2|Gippert/1997|1978|"QEN[OVEA][--][A]QI[T]| --[A]M[A][--]G[--]T[--"||CLOOM/1/1-2
CLOON|1|1|1|Macalister, R.A.S.|1949|+LOBEDFECETCRUCE[M]||CLOON/1/1-1
CLYDI|1|1|1|Macalister, R.A.S.|1945|"ETTERN[-- ||| [--] ||| --]TOR"||CLYDI/1/1-1
CLYDI|1|1|2|Nash-Williams, V.E.|1950|"ETTERN[-- ||| [--] ||| --]TOR"||CLYDI/1/1-2
CLYDI|1|2|1|Macalister, R.A.S.|1945|ETTERN{I}F/I/LIVICTO{R}||CLYDI/1/2-1
CLYDI|1|2|2|Nash-Williams, V.E.|1950|ETTERN{I}F/I/LIVICTO{R}||CLYDI/1/2-2
CLYDI|1|2|3|Rhys, J.|1873|ETTERN{I}F/I/LIVICTO{R}||CLYDI/1/2-3
CLYDI|1|2|4|Westwood, J.O.|1859|{E}TERN{I}F/I/LIVICTO{R}||CLYDI/1/2-4
CLYDI|1|2|5|Westwood, J.O.|1879|ETTERN{I}F/I/LIVICTOR||CLYDI/1/2-5
CLYDI|2|1|1|Macalister, R.A.S.|1945|"SOL/INI | F/IL/IVSVENDONI"||CLYDI/2/1-1
CLYDI|2|1|2|Nash-Williams, V.E.|1950|"SOL/INI | F/IL/IVSVEN{D}ONI"||CLYDI/2/1-2
CLYDI|2|1|3|Rhys, J.|1873|"SOL/INI | F/IL/IVSVEN{D}ONI"||CLYDI/2/1-3
CLYDI|2|1|4|Westwood, J. O.|1859|"SOL/INI | F/IL/IVSVEN{D}ONI"||CLYDI/2/1-4
CLYDI|3|1|1|Macalister, R.A.S.|1945|DOVATACIS||CLYDI/3/1-1
CLYDI|3|1|2|Nash-Williams, V.E.|1950|D[.]V[.]TUCEAS||CLYDI/3/1-2
CLYDI|3|1|3|Romilly Allen, J.|1896|DO[V^BL][.]T[.]C[.]S||CLYDI/3/1-3
CLYDI|3|1|4|Rhys, J.|1873|DOBLOTUCISI||CLYDI/3/1-4
CLYDI|3|2|1|Macalister, R.A.S.|1945|"DOBTVCI | {F}ILIVSEVOLENG[{I}]"||CLYDI/3/2-1
CLYDI|3|2|2|Nash-Williams, V.E.|1950|"DOB[.]TVCI | FILIVSEVOLENG[.]"||CLYDI/3/2-2
CLYDI|3|2|3|Macalister, R.A.S.|1922|"DOBITVCI | {F}ILIVSEVOLENG{I}"||CLYDI/3/2-3
CLYDI|3|2|4|Romilly Allen, J.|1896|"DOBITACI | {F}ILIVSEVOLENG{I}"||CLYDI/3/2-4
CLYDI|3|2|5|Rhys, J.|1873|"DOB[--] | {F}ILIVSEVOLENG{I}"||CLYDI/3/2-5
CMBRN|1|1|1|Macalister, R.A.S.|1949|"+ ||| LEUIUTIUSIT ||| HEC{A}LT ||| {A}REPRO{A} ||| NIM{A} ||| SU{A}"||CMBRN/1/1-1
CMBRN|1|1|2|Okasha, E.|1984|"LEUIUTIUSIT: ||| HEC{A}LT ||| {A}REPRO{A} ||| NIM{A}+ ||| SU{A}"||CMBRN/1/1-2
CNWYL|1|1|1|Lhuyd, E.|1694|"SE/RV/ATURFIDA/EI | PATRIEQSEMPER | AMATORHICPAULIN | USIACITCU/LTORPIENT{I} | SIMUSA/EQUI"||CNWYL/1/1-1
CNWYL|1|1|2|Westwood, J.O.|1856|"SE/RV/ATURFIDA/EI | PATRIEQSEMPER | AMATOR[H]ICPA/ULIN | USIACITC[U/LT]ORPIEN[T{I}] | SIM[US A/EQUI]"||CNWYL/1/1-2
CNWYL|2|1|1|Saunders, E.|1694|"TALO[R]{I} | ADVEN[T]{I} | MAQU[ERIG]{I} | FILIU[S]"||CNWYL/2/1-1
CNWYL|2|1|2|Rhys, J.|1873|"TALO[R{I}] | ADVEN[T{I}] | MAQU[ERIG{I}] | FILIU[S]"||CNWYL/2/1-2
CNWYL|3|1|1|Westwood, J.O.|1856|"[R^P]EG[-- | FILIUSNU[--]INTII"||CNWYL/3/1-1
CNWYL|3|1|2|Huebner, E.|1876|"REGIN[-- | FILIUSNU[V]INTII"||CNWYL/3/1-2
CNWYL|3|1|3|Rhys,J.|1876|"REGIN | FILIUSNU[V]INTI"||CNWYL/3/1-3
CNWYL|3|1|4|Macalister, R.A.S.|1945|"REGIN{I} | FILIUS NU[-]INTI"||CNWYL/3/1-4
CNWYL|3|1|5|Nash-Williams, V.E.|1950|"REGINI{I} | FILIUS NU[D]INTI"||CNWYL/3/1-5
COBOY|1|1|1|Macalister, R.A.S.|1945|"CATTUVVIRRMAQIRIT ||| [UVVE] ||| CASMUCOIALLATO"||COBOY/1/1-1
COHIL|1|1|1|Macalister, R.A.S.|1945|--MA]Q[I]BROCI||COHIL/1/1-1
COLIN|1|1|1|Macalister, R.A.S.|1945|"OVANOSAVII ||| VACA ||| TTOS"||COLIN/1/1-1
COLIN|1|2|1|Macalister/1945|1945|IVVE{G}EADRVVIDE{S}||COLIN/1/2-1
COLIN|1|2|2|McManus/1991|1991|IVVE[N/R]EDRVVIDES||COLIN/1/2-2
COLIN|2|1|1|Macalister, R.A.S.|1945|"MAQIDDE[CCEDA] ||| MAQ ||| IMARIN"||COLIN/2/1-1
COLIN|3|1|1|Macalister, R.A.S.|1945|--]MAQQICOLLABOTA||COLIN/3/1-1
COLIN|3|1|2|Macalister, R.A.S.|1897|--]ADDES[--||COLIN/3/1-2
COLIN|4|1|1|Macalister/1945|1945|"--]EGNIKOIMAQIMUC ||| [OI]A[L]I[NI]"||COLIN/4/1-1
COLIN|5|1|1|Macalister, R.A.S.|1945|AV[.]S[.]MAQV[.]S||COLIN/5/1-1
COLIN|6|1|1|Macalister, R.A.S.|1945|--]UR[--||COLIN/6/1-1
COLIN|7|1|1|Macalister, R.A.S.|1945|--]LA||COLIN/7/1-1
COOGH|1|1|1|Macalister, R.A.S.|1945|ANMCORREMAQVIUDD[...]METT||COOGH/1/1-1
COOGH|1|1|2|Gippert, J.|1997|[ANM]CORR{EA}MAQV[VE]D[DEL]M{EA}TT||COOGH/1/1-2
COOGH|2|1|1|Macalister, R.A.S.|1945|ANMN[ETAC]U[N]AS[CE]L[I]VIDETTAS||COOGH/2/1-1
COOLE|1|1|1|Macalister, R.A.S.|1945|L[OGIT]TIMAQIERPENN||COOLE/1/1-1
COOLE|2|1|1|Macalister,R.A.S.|1945|--]ERLONNAMAQIR[U]T[ENI]||COOLE/2/1-1
COOLE|2|1|2|OSullivan, A.|1996|--]ERR[L]ON[N]MMAQ[IRUTE]N[I]||COOLE/2/1-2
COOLH|1|1|1|Macalister, R.A.S.|1945|VEQOANAIMAQIEQOD[--||COOLH/1/1-1
COOLM|1|1|1|Macalister, R.A.S.|1945|DEGO{S}MAQIMOCOITOICAKI||COOLM/1/1-1
COOLM|2|1|1|Macalister, R.A.S.|1945|"MAQIRITEASMAQIMAQIDDUMILEAS | MUCOITOICACI"||COOLM/2/1-1
COOLM|3|1|1|Macalister, R.A.S.|1945|CUNACENA||COOLM/3/1-1
COOLM|4|1|1|Macalister, R.A.S.|1945|"MAQITTALMAQIVORGOSMA ||| QIMU ||| COITOICAC"||COOLM/4/1-1
COOLM|5|1|1|Macalister, R.A.S.|1945|"--]MC[--]GE[--] ||| M ||| [--]Q[--] ||| [--]D[--]E"||COOLM/5/1-1
COOLM|6|1|1|Macalister, R.A.S.|1945|"NIOTTVRECCMAQI[-- ||| --]GNI"||COOLM/6/1-1
COOLM|6|1|2|McManus, D.|1991|"NI[O]TTVR[E/I]CCMAQ[I][-- ||| --]GNI"||COOLM/6/1-2
COOLM|6|1|3|Gippert, J.|1981|"NI[O]TTVR[E]CCMAQ[I][-- ||| --][G]N[--"||COOLM/6/1-3
COOLM|7|1|1|Macalister, R.A.S.|1945|MAQIDECEDAMAQ[--||COOLM/7/1-1
CORRO|1|1|1|Macalister, R.A.S.|1945|"--MA]QCERAN[I] ||| AVIATHECETAIMIN"||CORRO/1/1-1
CORRO|1|1|2|Gippert, J.|1978|"--]N[--]Q[--] ||| A[--]ECETAIMI[N][--"||CORRO/1/1-2
CORRO|1|1|3|Ziegler, S.|1994|"[MA]CERAN[I] ||| AVIA{O}ECETAIMIN"||CORRO/1/1-3
CORRO|1|2|1|Macalister/1945|1945|AVIATHECETAIMIN||CORRO/1/2-1
CORRO|1|2|2|Gippert/Web|1978|A[--]ECETAIMI[N][--||CORRO/1/2-2
CORRO|1|2|3|Ziegler/1994|1994|AVIA{O}ECETAIMIN||CORRO/1/2-3
COTTS|1|1|1|Macalister, R. A. S.|1945|IARNI||COTTS/1/1-1
COYCH|1|1|1|RCAHMW|1973|"EBISSA[.] | [.--] | [--] | QUE[....]"||COYCH/1/1-1
COYCH|1|1|2|Nash-Williams, V.E.|1950|"EBISSAR | [.--] | [--]"||COYCH/1/1-2
COYCH|1|1|3|Macalister, R. A. S.|1928|"EBISSAR | [--] | [--] | [--]"||COYCH/1/1-3
COYCH|1|1|4|Rhys, J.|1899|"EBISSAR | [--] | [--] | [--]"||COYCH/1/1-4
COYCH|2|1|1|Westwood, J.O.|1879|"EBI | SAR"||COYCH/2/1-1
COYCH|2|1|2|Nash-Williams, V.E.|1950|"EBI | SAR"||COYCH/2/1-2
COYCH|2|1|3|Macalister, R. A. S.|1949|"EBI | SAR"||COYCH/2/1-3
COYCH|2|1|4|Rhys, J.|1899|"EBI | SAR"||COYCH/2/1-4
CRAG|1|1|1|Macalister, R.A.S.|1945|VELITASLUGUTTI||CRAG/1/1-1
CRAI|1|1|1|Macalister, R.A.S.|1945|B[M--]S[--]N[--]N[--]N||CRAI/1/1-1
CRAI|1|1|2|Nash-Williams, V.E.|1950|[--]||CRAI/1/1-2
CRAI|1|2|1|Macalister, R.A.S.|1945|"CANN/TIANIET{I} | PA~E[R]ILIVSMCCVTRENIHICIA | CIT"||CRAI/1/2-1
CRAI|1|2|2|Nash-Williams|1950|"CANN/TIANIET | PA/TERILLIVSM/ACCV | TRENIHICIA | CIT"||CRAI/1/2-2
CRCKH|1|1|1|Macalister, R.A.S.|1945|TUR{*}[I]L[I][--]LL[--]N[U!][--||CRCKH/1/1-1
CRCKH|1|1|2|Nash-Williams, V.E.|1950|TURPIL[--]LUNI||CRCKH/1/1-2
CRCKH|1|1|3|Brash, R.R.|1870|TUR{*}[I]LI||CRCKH/1/1-3
CRCKH|1|1|4|McManus, D.,|1991|TUTP[I]L[LI][--]L[U]N[I]||CRCKH/1/1-4
CRCKH|1|2|1|Macalister, R.A.S.|1945|"CIT | TVRPILLIICIA | PVVERITRILV{N}I{D}U{N}OCA | TI"||CRCKH/1/2-1
CRCKH|1|2|2|Nash-Williams, V.E.|1950|"CIT | TVRPILLIICIA | PVVERITRILV{N}I{D}V{N}OCA | TI"||CRCKH/1/2-2
CRCKH|1|2|3|Westwood, J.O.|1876|"CIT | TURPILLIICIA | PUUERITRILU{N}I{D}U{N}OCA | TI"||CRCKH/1/2-3
