BIB_REF|REFERENCE|DATE|VERIFIED|CISP_NOTES
Kermode/1911-1912b|Kermode, P. M. C. (1911--1912). `Inscribed cross-slab from Keeill at Ballavarkish, Bride.' _Proceedings of the Isle of Man Natural History and Antiquarian Society_ 9: 593--595.|1911|f|Finding of Ballavarkish stone.
Kermode/1915|Kermode, P. M. C. (1915). _The Manx Archaeolgical Survey. 4th Report._ Douglas.|1915|t|Maughold site.
Kermode/1927-28|Kermode, P. M. C. (1927--28). `Knoc-y-doonee.'  _Proceedings of the Isle of Man Natural History and Antiquarian society_ ??: 241--46.|1927|t|volume????
Kermode/1929|Kermode, P. M. C. (1929). `The Ancient Monuments of the Isle of Man.' _Archaeologia Cambrensis_ 84: 167--178.|1929|t|
Kermode/1929b|Kermode, P. M. C. (1929), 'Douglas, Isle of Man --- Report.' _Archaeologia Cambrensis_ 84: 349--381.|1929|t|Discusses most Manx sites and stones
Kermode/1930|Kermode, P. M. C. (1930). `A ship burial in the Isle of Man.' _Antiquaries Journal_ 10: 126-133.|1930|t|Site of Knoc-y-Doonee
Kermode/1935|Kermode, P. M. C. (1935). _The Manx Archaeological Survey. 5th Report 1918._ Douglas.|1918|f|Discussion of site of Santon. ??? date?
Kermode/1994|Kermode, P.M.C. (1994). _Manx Crosses_Balgavies, Angus: Pinkfoot Press.|1994|f|
Kermode/Herdman/1914|Kermode, P. M. C., and Herdman, W. A. (1914). _Manks Antiquities._ Liverpool.|1914|t|2nd edition of 1904 book.
Kneale/1887|Kneale, W. (1887). `The Discovery of Ogams in the Isle of Mann.' _The Manx Notebook_ 3(12): 163--166.|1887|t|RUSHN ogams
Knight/1992|Knight, J. (1992). `The Early Christian Latin inscriptions of Britain and Gaul: Chronology and Content', _in_ Edwards, N. and A. Lane (eds.) _The Early Church in Wales and the West._ Oxford: Oxbow Monograph 16.|1992|f|KF
Knight/1995|Knight, J.K. (1995). `Penmachno Revisited: The Consular Inscription and its Context.' _Cambrian Medieval Celtic Studies_ 29: 1--10.|1995|t|
Lacaille/1925|Lacaille, A. D. (1925). `Some ancient crosses in Dumbartonshire and adjoining counties.' _Proceedings of the Society of Antiquaries of Scotland_ 59: 143--153.|1925|f|none
Laing/1975|Laing, L. (1975) _The Archaeology of Late Celtic Britain and Ireland._ London.|1975|t|pub?
Langdon/1896|Langdon, A. G. (1896). _Old Cornish Crosses._ Truro. (facsimile reprint, 1988, Exeter: Cornwall Books).|1896|t|?
Langdon/1906|Langdon, A. (1906). `Early Christian Monuments'. in _Victoria County History Cornwall_. London: 407--449.|1906|t|
Langdon/1988|Langdon, A. G. (1988) _Old Cornish Crosses._  Exeter: Cornwall Books.  Facsimile edition of Langdon/1896.|1988|t|JGC
Langdon/Allen/1895|Langdon, A. G. and J. R. Allen (1895). `Catalogue of the early Christian inscribed monuments in Cornwall'. _Archaeologia Cambrensis_ 5th series, 12: 50--60 and plates.|1895|t|p/c
Laws/1895|Laws, E. (1895). `Discovery of the Tombstone of Vortipore, Prince of Demetia at Llanfallteg, Carmarthenshire.' _Archaeologia Cambrensis_ 50: 303--307.|1895|f|Votoporis
Le Blant/1865|Le Blant, E. (1865). _Inscriptions Chretiennes de la Gaule._ Paris.|1865|t|LMARC
Lejeune/1988|Lejeune, M. (1988). _Receuil des inscriptions gauloises: II.1 Textes gallo-etrusuqes. Textes gallo-latins sur pierre._ Paris.|1988|t|PLMGT/1
Lewis/1964|Lewis, J. M. 1964.  `Early Christian Stones in Wales', _Archaeologia Cambrensis_ 113, 166--168.|1966|t|pcopied
Lhuyd/1700|Lhuyd, Edward (1700) _Philosophical Transactions of the Royal Society_, 22.|1700|f|n
Lhuyd/1858|Lhuyd, E. (1858). `Letters of Edward Lhwyd.' _Archaeologia Cambrensis_ 4: 343--348.|1697|t|LDEIO/1
Lines/1992|Lines, M. (1992). _Sacred Stones Sacred Places_. Edinburgh: St Andrews Press.|1992|t|KF
Lloyd/1939|Lloyd, J. E. (1939). _A History of Wales from the Earliest Times to the Edwardian Conquest._ 3rd edition, 2 vols.|1939|t|
Lord Southesk/1887|Lord Southesk (1887). `The Oghams on the Kirk Michael Cross.' _The Academy_ November 26, pp 359--361.|1887|t|First discussion of Kirk Michael Oghams
Macalister/1897|Macalister, R. A. S. (1897) _Studies in Irish Epigraphy. A Collection of Revised Readings of the Ancient Inscriptions of Ireland, with Introduction and Notes._ Part I. London: David Nutt.|1897|f|
Macalister/1902|Macalister, R. A. S. (1902) _Studies in Irish Epigraphy. A Collection of Revised Readings of the Ancient Inscriptions of Ireland, with Introduction and Notes_. Part II.  London: David Nutt.|1902|t|Man Oghams
Macalister/1907|Macalister, R. A. S. (1907) _Studies in Irish Epigraphy. A Collection of Revised Readings of the Ancient Inscriptions of Ireland, with Introduction and Notes_Part III. London: David Nutt.|1907|f|
Macalister/1913|Macalister, R.A.S. (1912--13). `An inventory of the ancient monuments remaining in the island of Iona.' _Proceedings of the Society of Antiquaries of Scotland_ 48: 421-30.|1913|f|n
Macalister/1919|Macalister, R.A.S.(1919) '' _Proceedings of the Royal Irish Academy_34 (1919), 401.|1919|f|
Macalister/1921|Macalister, R. A. S. (1921). `Notes of an Epigraphic Pilgrimage in south-west Wales.' _Carmarthenshire Antiquarian Society Transactions_ 15: 21--23.|1921|t|Many Carmarthenshire stones.
Macalister/1922|Macalister, R. A. S. (1922) `Notes on some of the Early Welsh Inscriptions',  _Archaeologia Cambrensis_0 series,  77, 198--219.|1922|t|series?
Macalister/1922a|Macalister, R. A. S. (1922). `Notes of an Epigraphic Pilgrimage in South-West Wales.' _Carmarthenshire Antiquarian Society Transactions_ 15: 29--32.|1922|t|Many Carmarthenshire stones
Macalister/1922b|Macalister, R. A. S. (1922). `Notes of an Epigraphic pilgrimage in South-west Wales.' _Carmarthenshire Antiquarian Society Transactions_ 15: 21--23.|1922|t|Carmarthenshire
Macalister/1928|Macalister, R. A. S. (1928)  `The Ancient Inscriptions of Wales', _Archaeologia Cambrensis_ 83, 285--315.|1928|t|pcopied
Macalister/1929|Macalister, R. A. S. (1929) _Antiquity_ 3,|1929|f|n-- TITLE???
Roberts/1876|Roberts, A. (1876) `Carmarthenshire Antiquities.' _Archaeologia Cambrensis_ 31, 236--237.|1876|t|Abergwili
Macalister/1930|Macalister, R. A. S. (1930) in `Report of the Annual meeting at Menai Bridge, Anglesey.' _Archaeologia Cambrensis_ 85: 438--482.|1930|t|Llangefni stone
Macalister/1936|Macalister, R. A. S. (1935--36). `The Ancient Inscriptions of Kirkmadrine and Whithorn.' _Proceedings of the Society of Antiquaries of Scotland_ 70: 315--325.|1936|t|n same as Mac/1936-37, Yarrow
Macalister/1940|Macalister, R. A. S. (1940). `The inscriptions and language of the Picts', _in_ Ryan, J. (ed.)  _Essays and Studies Presented to Professor Eoin MacNeill. Féil-Sgríbhinn Eóin mhic Néill_, pp. 184--226. Dublin: At the Three Candles.|1940|t|KF
Macalister/1945|Macalister, R. A. S. (1945) _Corpus Inscriptionum Insularum Celticarum_.Volume I. Dublin: Stationery Office.|1945|t|KF
Macalister/1949|Macalister, R. A. S. (1949) _Corpus Inscriptionum Insularum Celticarum_. Volume  II.  Dublin: Stationery Office.|1949|t|KFPC
Macdonald/1935-36|Macdonald, G. (1935--36). `On two Inscribed Stones of the Early Christian period from the Border District.' _Proceedings of the Society of Antiquaries of Scotland_ 70: 33-39.|1936|t|Manor Water and Liddesdale.
MacDonald/1936|MacDonald, Sir G. (1936) `££', _Proceedings of the Society of Antiquaries of Scotland_ 70, ££-££.|1936|f|n COMPLETE
MacDonald/1973|MacDonald, A. (1973) `Two major early monasteries of Scottish Dalriata.' _Scottish Archaeological Forum_ 5: 45--70.|1973|f|n
MacDonald/1997|MacDonald, A. (1997). `Adomnán's Monastery of Iona'  _in_ Bourke, C. (eds.) _Studies in the Cult of Saint Columba_, pp.  24-44.  Dublin: Four Courts.|1997|t|KF
MacLean/1997|MacLean, D. (1997). `Maelrubai, Applecross and the late Pictish contribution west of Druimalban' _in_ Henry, D. (ed).  _The Worm, the Germ and the Thorn: Pictish and related studies present to Isabel Henderson_, pp. 173--8.  Balgavies, Forfar: Pinkfoot P|1997|t|KF
Mahe/1825|Mahe, J. (1825)._ Essai sur les antiquites du Morbihan_Vannes: Imprimerie Galles.|1825|f|Prostlon stone.
Maxwell/1917|Maxwell, H. E. (1916--17). `The crosses of Kirkmadrine: Discovery of the missing third stone.' _Proceedings of the Society of Antiquaries of Scotland_ 51: 199--207.|1917|f|n
McCormick/1997|McCormick, F. (1997). `Iona: the Archaeology of the Early Monastery' _in_ Bourke, C. (ed.) _Studies in the Cult of Saint Columba_, pp. 45--68.  Dublin: Four Courts.|1997|t|KF
McManus/1991|McManus, D. (1991) _A Guide to Ogam._ Maynooth Monographs 4.  Maynooth: An Sagart.|1991|t|n
Megaw/1950|Megaw, B. R. S. (1950), 'The Monastery of St. Maughold.', _Proceedings of the Isle of Man Natural History and Antiquarian Society_ 5: 169--80.|1950|t|Dig at Maughold and finding of Branhui
Miller/1979|Miller, M. (1979). _The Saints of Gwynedd._  Woodbridge: Boydell Press.|1979|t|Listings and dates of Gwynedd stones.
Mitchell/1872|Mitchell, A. (1870--72). `Inscribed stones at Kirkmadrine, in the Parish of Stoneykirk, county of Wigton.' _Proceedings of the Society of Antiquaries of Scotland_ 9: 568--86.|1872|f|n
M'Kerlie/1877|M'Kerlie, P. (1877). _History of the Lands and Their Owners in Galloway, illustrated by woodcuts of notable places and objects, with a historical sketch of the district, II_. Edinburgh.|1877|f|n
M'Kerlie/1906|M'Kerlie, P. (1906). _History of the Lands and Their Owners in Galloway, with historical sketches of the district, new edition, II_. Paisley.|1906|f|n
M'Neil/1952|M'Neil C. (1952) `The lost stone of Kirkmadrine',  _University of Edinburgh Journal_ 16(3): 174--7.|1952|t|n
Moore/1996|Moore, M. J. (1996) _Archaeological Inventory of County Wexford._ Dublin: Stationery Office.|1996|t|
Morris/1997|Morris, C. (1997). `Excavations on the Lower Terrace, Site C, Tintagel Island 1990-1994'. _Antiquaries Journal_ 77: 1--143.|1997|t|
Morris/1998|Morris, C. (1998). `Tintagel'. _Current Archaeology_  no. 159: 84--88.|1998|t|
Morris/1999|Morris, C. (1999). `Tintagel 1998'. _Council for British Archaeology South West_ 2: 6--9.|1999|t|
Morrison/1885|Morrison, H. (1884--85). `Notices of the discovery of a stone coffin and fragment of a Celtic cross at Lethnott, Forfarshire, and of a bronze celt at Durness, Sutherland.'  _Proceedings of the Society of Antiquaries of Scotland_ 19: 315--20.|1885|f|inc
Nash-Williams/1936|"Nash-Williams, V. E. (1936) `An Inventory of the Early Christian Stone Monuments of Wales, with a Bibliography of the Principal Notices'', _Bulletin of the Board of Celtic Studies_, 8, 62--84, 161--188.
"|1936|f|
Nash-Williams/1938|Nash-Williams, V. E. (1938). `Some dated monuments of the ``Dark Ages'' in Wales', _Archaeologia Cambrensis 93: 31--56.|1938|t|copied
Nash-Williams/1950|Nash-Williams, V. E. (1950) _The Early Christian Monuments of Wales_. Cardiff: University of Wales Press.|1950|f|
NMRS/HY62NE14|NMRS OS Record Card HY 62 NE 14|1992|t|n
NMRS/N056SSE22|NMRS OS Record Card NO 56 SE 22|1992|t|
NMRS/NM22SE44|NMRS OS Record Card NM 22 SE 44|1992|f|n
NMRS/NM48NE19|NMRS OS Record Card NM 48 NE 19|1992|t|n
NMRS/NM48NE20|NMRS OS Record Card NM 48 NE 20|1992|t|n
NMRS/NM48NE24|NMRS OS Record Card NM 48 NE 24|1992|t|n
NMRS/NO56NW16|NMRS OS Record Card NO 56 NW 16|1992|f|n
NMRS/NO56SE22|NMRS OS Record Card NO 56 SW 22|1992|t|
NMRS/NO56SE22.3|NMRS OS Record Card NO 56 SW 22.3|1992|f|
NMRS/NO77NW3|NMRS OS Record Card NO 77 NW 3|1992|t|
NMRS/NR89SW13|NMRS OS Record Card NR 89 SW 13|1992|t|n
NMRS/NT13SE3|NMRS OS Record Card NT 13 SE 3|1992|f|n
NMRS/NT24SE4|NMRS OS Record Card NT 24 SE 4|1992|f|n
NMRS/NT24SE4.1|NMRS OS Record Card NT 24 SE 4.1|1992|t|n
NMRS/NT24SE8|NMRS OS Record Card NT 24 SE 8|1992|t|n
NMRS/NX04NE1|NMRS OS Record Card NX 04 NE 1|1992|t|KF
NMRS/NX44SW5|NMRS OS Record Card NX 44 SW 5|1992|t|n
NMRS/NX54NE6|NMRS OS Record Card NX 54 NE 6|1992|t|n
NMRS/NY48NE13|NMRS OS Record Card NY 48 NE 13|1992|f|n
O Croinin/1995|O Croinin, D. (1995). _Early Medieval Ireland 400--1200._ London: Longman.|1995|t|
Okasha/1970|Okasha, E. 1970--71. `A new inscription from Ramsey Island', _Archaeologia Cambrensis_ 119--120, 68--70|1970|f|pc in coll
Okasha/1985|Okasha, E. (1985). `The non-ogam inscriptions of Pictland.' _Cambridge Medieval Celtic Studies_ 9: 43--69.|1985|t|KF
Oswald/1823|Oswald (1823). `Notes of reference to the series of delineations of the Runic and other ancient crosses in the Isle of Man.' _Archaeologia Scotica_ 2:502--508.|1823|f|Santon and Guriat, NAME?
Owen/1891|Owen, E. (1891).  `Report of the 45th Annual Meeting, Holywell.' _Archaeologia Cambrensis_ 46: 51--76, 102--144.|1891|t|Illustration of Caerwys.
Owen/1896|Owen, E. (1896) `Lewis Morris's Notes on Some Inscribed Stones in Wales', _Archaeologia Cambrensis_ 51, 129--144.|1896|t|pc
Padel/1972|Padel, O. (1972). _Inscriptions of Pictland._ Unpublished M.Litt. dissertation, University of Edinburgh.|1972|f|inc
Padel/1984|Padel, O. (1984). `Geoffrey of Monmouth and Cornwall'. _Cambridge Medieval Celtic Studies_ 8:1-28.|1984|t|
Page/1980|Page, R. I. (1980). `Some thoughts on Manx Runes.'  _Saga Book of the Viking Society_ 20: 179--99.|1980|t|Earliest notes on KMICH and Maugh alpab
Page/1983|Page, R. I. (1983).  `The Manx Rune Stones', _in_ Fell, C. (ed.) _The Viking Age in the Isle of Man,_ pp. 133--46.  London.|1983|t|
Parry/Westwood/1847|Jones Parry, T. L. D. and J. O. Westwood (1847). `Inscribed stones, Llannor, Caernarvonshire', _Archaeologia Cambrensis_ 2: 201--204|1847|t|pc'd
Pearce/1982|Pearce, S.M. (1982) 'Church and Society in South Devon, AD 350-700', _Devonshire Archaeological Society Proceedings_, 40: 1--18.|1982|f|
Pennant/1773|Pennant, T. (1773--6). _Tours in Wales_.  ed. J. Rhys (3 vols, 1883).|1773|f|not seen
Phillips/1921|Phillips, O. (1921). `The Egremont Stone.' _Carmarthenshire Antiquarian Society Transactions_ 15: 36--37.|1921|t|EGRMT
Pokorny/1959|Pokorny, Julius (1959) _Indogermanisches Etymologisches Wörterbuch_ 2 vols (1959, 1969).|1959|f|n
Power et al/1997|Power, D., E. Byrne, U. Egan, S. Lane & M.Sleeman (1997)_Archaeological Inventory of County Cork.Volume III: Mid Cork_Dublin: Stationery Office.|1997|f|
Power/etal/1997|Power, D. et al.  (1997) _Archaeological Inventory of County Cork._, Vol. 3, _Mid Cork comprising the Baronies of East Muskerry, West Muskerry and Barretts._ Dublin: Stationary Office.|1997|t|
Preston-Jones/1992|Preston-Jones, A. (1992). `Decoding Cornish Churchyards.' _The Early Church in Wales and the West_, edited by N. Edwards and A. Lane, Oxford: 105--124.|1992|t|Cornish sites and stones
Prichard/1898|Prichard, H. (1898). `Old Llangaffo Church and Cross.'  _Archaeologia Cambrensis_ 53: 288--290.|1898|t|Includes drawing form 'a century ago'.
Proudfoot/1997|Proudfoot, E. (1997). `Abernethy and Mugdrum: towards reassessment', _in_ Henry, D. (ed.) _The Worm, the Germ and the Thorn: Pictish and related studies present to Isabel Henderson_,  pp. 47--63. Balgavies, Forfar: Pinkfoot Press.|1997|t|KF
PSAS/1969|Anon (1968--69) _Proceedings of the Society of Antiquaries of Scotland_ 101: ££-££.|1969|f|N
PSAS/1977|_Proceedings of the Society of Antiquaries of Scotland_ 108 (1976-7), ?????.|1977|f|n
Radford/1937a|"Radford, C. A. Ralegh (1937) `The Early Mediaeval period'', in RCAHMW _An Inventory of Ancient Monuments in Anglesey_, London, xci--ciii (Appendix iv).
"|1937|t|
Radford/1937b|"Radford, C. A. Ralegh (1937) `The early inscriptions'', in RCAHMW _An Inventory of Ancient Monuments in Anglesey_, London, civ--cix (Appendix V)
"|1937|t|
Radford/1956|Radford, C. A. R. (1955--56). `Excavations at Whithorn (Final Report).' _Transactions of the Dumfries-shire and Galloway Natural History and Archaeological Society_ 34: 131--94.|1956|t|WHIT1 and WHIT2
Radford/1957|Radford, C. A. R. (1957). `Excavations at Whithorn (Final Report).' _Transactions of the Dumfries-shire and Galloway Natural History and Archaeological Society_ 34, 131--94.|1957|f|n
Radford/1967|Radford, C. A. R. (1967). `The Early Church in Strathclyde and Galloway.' _Medieval Archaeology_ 11: 105--126.|1967|t|Identification of Guriat
Radford/Donaldson/1957|Radford, C. A. R. and G. Donaldson (1957) _Whithorn and Kirkmadrine Wigtownshire_. Ministry of Works Official Guide book, 2nd imprint. Edinburgh: H.M.S.O.|1957|f|n
Radford/Donaldson/1984|Radford, C. A. R. and Gordon Donaldson (1984). _Whithorn and the ecclesiastical monuments of Wigtown Distric.t_ Revised edition by Ian Fisher and Christopher J. Tabraham). Edinburgh: HMSO.|1984|f|n
RCAHMS/1911a|RCAHMS (1911). _Second Report and Inventory of Monuments and Constructions in the County of Sutherland_. Edinburgh: HMSO.|1911|t|n
RCAHMS/1911b|RCAHMS (1911). _Third Report and Inventory of Monuments and Constructions in the County of Caithness_. Edinburgh: HMSO.|1911|t|n
RCAHMS/1912|RCAHMS (1912). _Fourth Report and Inventory of Monuments and Constructions in Galloway, I, County of Wigtown_. Edinburgh: HMSO.|1912|f|n
RCAHMS/1928|RCAHMS (1928). _Ninth Report with Inventory of Monuments and Constructions in the Outer Hebrides, Skye and the Small Isles_. Edinburgh: HMSO.|1928|f|n
RCAHMS/1933|RCAHMS (1933). _Eleventh Report with Inventory of Monuments and Constructions in the Counties of Fife, Kinross and Clackmannan_. Edinburgh: HMSO.|1933|t|n
RCAHMS/1946|RCAHMS (1946). _Twelfth Report with an Inventory of the Ancient Monuments of Orkney and Shetland.  II Inventory of Orkney_. Edinburgh: HMSO.|1946|t|n
RCAHMS/1956|RCAHMS (1956). _An Inventory of the Ancient and Historical Monuments of Roxburghshire_. Edinburgh: HMSO.|1956|f|n
RCAHMS/1957|RCAHMS (1957). _An Inventory of the Ancient and Historical Monuments of Selkirkshire_. Edinburgh: H.M.S.O.|1957|f|n
RCAHMS/1967|RCAHMS (1967). _Inventory of Peebles-shire_. Edinburgh: HMSO.|1967|f|n
RCAHMS/1971|RCAHMS (1988). _Argyll.  An Inventory of the Monuments.  Vol.1 Kintyre. Edinburgh: HMSO.|1971|t|n
RCAHMS/1982|RCAHMS (1982). _Argyll.  An Inventory of the Monuments.  Vol.4 Iona_. Edinburgh: HMSO.|1982|t|n
RCAHMS/1985|RCAHMS (1985). _The Archaeological Sites and Monuments of Scotland. 24, West Rhins, Wigtown District, Dumfries and Galloway Region_. Edinburgh: RCAHMS.|1985|f|n
RCAHMS/1988|RCAHMS (1988). _Argyll.  An Inventory of the Monuments.  Vol.6 Mid Argyll & Cowal.  Prehistoric and Early Historic_. Edinburgh: HMSO.|1988|t|n
RCAHMS/1992|RCAHMS (1992). _Argyll.  An Inventory of the Monuments.  Vol.7 Mid Argyll & Cowal.  Medieval and Later Monuments_. Edinburgh: HMSO.|1992|t|n
RCAHMW/1956|"_Royal Commission on Ancient and Historical Monuments in Wales and Monmouthshire_ (1957). _
"||f|unfinished
Robertson/1918|Robertson, G. P. (1918). `The lost stone of Kirkmadrine.' _Transactions of the Dumfries-shire and Galloway Natural History and Archaeological Society_ 5: 136--41.|1918|f|n
RCAHMW/1960|Royal Commission on Ancient and Historical Monuments in Wales and Monmouthshire (1960). _An Inventory of the Ancient Monuments in Caernarvonshire. Volume II: Central._  London: HMSO.|1960|t|pc parts, in Bartlett ref section
RCAHMW/1964|_Royal Commission on Ancient and Historical Monuments in Wales and Monmouthshire_ (1964). _Caernarvonshire Volume III: West. The Cantref of Lleyn._ London: HMSO.|1964|t|SJS has vols, PC of useful bits
RCAHMW/1976|Royal Commission on Ancient and Historical Monuments in Wales (1976).  _An Inventory of the Ancient Monuments in Glamorgan. Volume I: Pre-Norman. Part II The Early Christian Period._ Cardiff: Her Majesty's Stationery Office.|1976|t|pc
RCAMW/1912|RCAMW (1912) _An Inventory of Ancient Monuments of Wales and Monmouthshire.  Vol. - County of Flintshire_, London.|1912|f|
RCAMW/1914|RCAMW (1914) _An Inventory of Ancient Monuments of Wales and Monmouthshire.  Vol. - County of Denbigh_, London.|1914|f|
RCAMW/1925|RCAMW (1925) _An Inventory of Ancient Monuments of Wales and Monmouthshire.  Vol. VII - County of Pembroke_, London.|1925|f|
RCAMW/1937|"RCAMW (1937) _An Inventory of Ancient Monuments of Wales and Monmouthshire.  Vol. - County of Anglesey_, London.
"|1937|f|
RCHAME/1970|Royal Commision on Historical Monuments (England) 1970. _An Inventory of Historical Monuments in the County of Dorset.  Volume 2, South East, Part 2._ HMSO, London.|1970|t|In Bartlett, selected bits p/c
RCHAMW/1925|||f|
RCHAMW/1973|||f|
RCHAMW/1976|Royal Commission on Ancient and Historical Monuments in Wales (1976), _An Inventory of the Ancient Monuments of Glamorgan._, Vol. 1, Part 3, _The Early Christian Period_. Cardiff: HMSO.|1976|t|
Redknap/1976-77|Redknap, M. (1976--77). `Excavation at Iona Abbey, 1976.' _Proceedings of the Society of Antiquaries of Scotland_ 108: 228-???|1977|f|Ionas/3  CHECK
Redknap/1991|Redknap, M. (1991) _The Christian Celts: Treasures of Late Celtic Wales_ .Cardiff: National Museum of Wales.|1991|t|
Reeves/1857|Reeves, W. (1857). _The Life of St Columba, Founder of Hy, written by Adamnan_. Dublin & Edinburgh.|1857|f|n
Reid/1958|Reid, R. C. (1958). `{The Ventidius stone, Kirkmaiden' or `A lost stone from Curgie' which??}, _Transactions of the Dumfries-shire and Galloway Natural History and Archaeological Society_ 36 (1957--8), 184--5.|1958|f|n check title etc
Rhys/1873|Rhys, J. (1873) _The Early Inscribed Stones of Wales_. Carnarvon (reprinted from _The Carnarvon and Denbigh Herald_ November 29 and December 6 1873). Cardiff: Rees and Evans.|1873|t|pc
Rhys/1873b|Rhys, J. (1873) `Our British Inscriptions.' _Archaeologia Cambrensis_ ??: 197--200.|1873|f|British or Irish names.
Rhys/1873c|Rhys, J. (1873). `Inscribed stones of Wales.' _Archaeologia Cambrensis_  ??: 386--388.|1873|t|British or Irish names.
Rhys/1874|Rhys, J. (1874). `The St. Cadfan and other stones.' _Archaeologia Cambrensis_ 29: 243--248.|1874|t|HENLL
Rhys/1874a|Rhys, J. (1874). `On some of our British Inscriptions.'  _Archaeologia Cambrensis_ 29: 16--21.|1874|t|Ogham at CLOCG
Rhys/1874b|Rhys, J. (1874). `Ancient British Inscriptions.' _Archaeologia Cambrensis_ 29: 330--335.|1874|t|
Rhys/1875|Rhys, J. (1875) `On some of our Inscribed Stones.' _Archaeologia Cambrensis_ 30: 359--371.|1875|t|LBOID/3, and NEWCH.
Rhys/1876|Rhys, J. (1876) `Review of _Inscriptiones Britanniae Christianae_. _Archaeologia Cambrensis_  31: 243--246.|1876|f|
Rhys/1877|Rhys, John (1877) _Lectures on Welsh Philology_, London: Trubner.|1877|f|
Rhys/1877a|Rhys, J. (1877). _Lectures in Welsh Philology._ London.|1877|t|Many Welsh stones.
Rhys/1877b|Rhys, J. (1877b) `On Some of Our Early Inscribed Stones.' _Archaeologia Cambrensis_ 32, 135--144.|1877|t|
Rhys/1879|Rhys, J. (1879). _Lectures in Welsh Philology._ 2nd edition, Oxford.|1879|t|
Rhys/1882|Rhys, J. (1882) `The Gesail Gefarch Stone', _Archaeologia Cambrensis_ 37: 161--165.|1882|t|pcopied
Rhys/1886|Rhys, J. (1886). '|1886|f|
Rhys/1886a|Rhys, J. (1886) `Ogams discovered in the Isle of Man.' _The Academy_, July 10,  33.|1886|t|Finds at Arbory
Rhys/1886b|Rhys, J. (1886) `Ogams in the Isle of Man.' _The Academy_, August 7, pp. 93--94.|1886|t|Short notice of first finding.
Rhys/1887|Rhys, J. (1887). `Why I visited Manx Mona.' _The Manx Notebook_ 3(10): 61--66.|1887|t|Arbory and Bimaken oghams
Rhys/1890|Rhys, J. (1890). `The Ogam stones in the Isle of Man.' _The Academy_, August 16, p. 134.|1890|t|Rushen ogams
Rhys/1890a|Rhys, J. (1890). `The Exmoor and Ballaqueeny Inscriptions.' _The Academy_, September 6, p. 201.|1890|t|Linguistic discussion of RUSHN 1
Rhys/1892|Rhys, J. (1892). `The Inscriptions and language of the northern Picts.' _Proceedings of the Society of Antiquaries of Scotland_ 26: 263--351.|1892|t|Discusses Pictish Oghams and KMICH
Rhys/1895|Rhys, J. (1895). `Notes on the Inscriptions on the Tombstone of Voteporis, Prince of Demetia.'  _Archaeologia Cambrensis_ 50: 307--313.|1895|f|
Rhys/1897|Rhys, J. (1897). `Note on Guriat.' _Zeitschrift für Celtische Philologie_ 1: 52--53.|1897|t|Identification of Guriat.
Rhys/1898|Rhys, John (1898) `A revised account of the inscriptions and language of the Northern Picts.' _Proceedings of the Society of Antiquaries of Scotland_ 32: 324--98.|1898|f|
Rhys/1903|Rhys, J. (1901--1903) `An inscribed stone found at Llystyn Gwyn, in Caernarvonshire', _Proceedings of the Society of Antiquaries_, Second series, 19: 255--262.|1903|t|pcopied
Rhys/1905|Rhys, J. (1905) `The Englyn.  The origin of the Welsh Englyn and kindred metres. Part I: Inscriptional Data', _Y Cymmrodorion_ 13, 1--102.|1905|t|copied
Rhys/1907|Rhys, J. (1907) `Epigraphic Notes', _Archaeologia Cambrensis_ 62: 66--102.|1905|t|pc in collection
Rhys/1907a|Rhys, J. (1907) `The Capel Mair Stone.' _Archaeologia Cambrensis_ ??: 293--310.|1907|f|Llangeler
Rhys/1918|Rhys, J. (1918) `Notes on some of the early inscribed stones of Wales, Devon and Cornwall', _Archaeologia Cambrensis_ 73, 181--194.|1918|t|pc
Rhys/Browne/1891|Rhys, J. and G. F. Browne (1891) `Manx Ogams.' _Archaeologia Cambrensis_ 46: 38--41.|1891|t|Excepts from 'The Academy' of 1886-1887.
Rhys/Wilkins/1886|Rhys, J. and C.  Wilkins (1886). `Early Inscribed Stones: The Abercar Stone', _Archaeologia Cambrensis_ 41: 93--96|1886|t|pc
Richardson/1964|Richardson, J. S. (1964) _The Medieval Stone-Carver in Scotland_. Edinburgh: Edinburgh University Press.|1964|t|KF
Rolt-Brash/1869|Rolt Brash, Richard (1869). `The Ogham Inscriptions of Wales', _Archaeologia Cambrensis_ 24: 148--167.|1869|t|in store
Rolt-Brash/1871|"Rolt Brash, Richard, (1871).  `Notes on the Ogham Inscribed Stone at Crickhowel'', _Archaeologia Cambrensis_ 26: 158--162.

"|1871|t|in store
Romilly Allen/1889a|Romilly Allen, J. (1889), /'Discovery of an Ogham Inscribed stone as Eglwys Cymmyn Caermarthenshire'/ _Archaeologia Cambrensis_/44, 95--96.|1889|t|EGLWC
RomillyAllen/1889|Romilly Allen, J. (1889). `Discoveries of Inscribed Stones in Carmarthenshire and Pembrokeshire.' _Archaeologia Cambrensis_ 44: 304--310.|1889|t|EGRMT
RomillyAllen/1905|Romilly Allen, J. (1905).  `The discovery of an Early Christian Inscribed Stone at Treflys, Carnarvonshire', _Archaeologia Cambrensis_ 60: 70--72.|1905|t|got pc and in IoA library
Rowlands/1723|"Rowlands, H. (1723). _Mona Antiqua Restaurata: an archaeological discourse of the antiquities of the Isle of Anglesey_. 
"|1723|f|more details?
