SITE|STONE|DISC_CIRC|DISC_WHEN|DISC_WHO|SUBSQ_HIST|CURRENT_SE|CURRENT_LO|LOC_NOTES|MON_FORM|FORM_NOTES|COMPLETENE|PRESERVATI|PRESCONDNO|M_SOURCE|M_HEIGHT|M_HT_STATU|M_WIDTH|M_WDTH_STA|M_THICKNES|M_THCK_STA|I_SOURCE|I_HT_FEET|I_HT_INCHE|I_HT_STATU|I_WD_FEET|I_WD_INCHE|I_WDTH_STA|I_TH_FEET|I_TH_INCHE|I_THCK_STA|STONE_TYPE|NO_CARVED|DECOR_NOTE|VISITED|id
BRIDL|1|first mentioned|1860|Jones, H. L.|"First mentioned by H. L. Jones, _Arch. Camb._ 1860, 314.

Brash visited the site in 1870 and published the first reasonable attempt at a reading (Brash/1872).

Rhys/1873, 5, `From Cilgerran we walked across the fields to Bridell, a distance of about a mile, to see the well-known Celtic inscription on a stone on the churchyard''

Westwood/1876, 114, `The accompanying figure is copied from the illustration of the stone given by the Rev. H. L. Jones in his account of it published in the Archaeologia Cambrensis, 1860, p. 314. This figure was made after repeated examinations of the stone by Mr. Jones, and my own sketch of the stone...The late Mr. R. R. Brash, M.R.I.A., visited the stone in 1870, and published a memoir on it in Arch. Camb., 1872, p. 24.''

Visited by the Royal Commission 3rd August 1914 (RCAHMW/1925, 31).

Visited by Macalister in July or August 1921 (Macalister/1922b, 21, 23).

Macalister/1945, 403, `in Bridell churchyard, south of the church''.

Thomas/1994, 73, shows the stone still within the churchyard."|in ground|on site|Thomas/1994, 73, shows the stone standing within the churchyard.|pilsc|"Brash/1872, 251, `It is a rough, undressed flag, standing 7 feet 6 inches above the ground, 2 feet 1 inch by 10 inches at the base, and 5 inches by 4 1/2 inches at the top.''

Westwood/1879, 114, `tapering uniformly to the top, nearly covered with a thin grey lichen''.

Macalister/1945, 403, `A pillar stone...tapering almost to a point at the top''.

Nash-Williams/1950, 180, `Rough pillar-stone. 87'" h. x25'" w. x6 1/2--9'" t.''

Thomas/1994, 71, `looks like (and probably was) a menhir''."|complete|good|Westwood/1876, 114, `for the most part in excellent preservation'.|converted|2.29|visible|0.66|actual|0.17|actual|Macalister/1945|7|6|visible|2|2|actual|0|6.5|actual||1|"Brash/1872, 252--253, `I do not consider that the ornament incised in the face of the stone was intended to represent a cross; neither is it of remote antiquity.  It is palpably a mediaeval quatrefoil, and cannot be older than the thirteenth century.''

Westwood/1879, 114, `having on its northern face an equal-armed cross with the limbs rounded at the ends and inscribed within a circle, being evidently of a very early character[1].

`[1] Mr. Brash does not consider that this represents a cross, or that it is of remote antiquity, but that it is a mediaeval quatrefoil, not older than the thirteenth century.''

Macalister/1945, 405, `On the side of the stone is an equal-armed cross within a circle, erroneously described by Jones and Brash as nediaeval quatrefoil ornament.  The error is corrected (1889) in terms rather too dyspeptically worded ; for their contention that the cross was a later addition to the monument is quite sound, though they made it out to be far too late.  It is low down on the side of the stone, in the place where it would be natural to cut it when the stone was already standing ; not on the head of the stone, where it would have been placed if the monument had been meant to bear it from the first.  This is practically diagnostic of later tampering.''

Nash-Williams/1950, 180, `Circle enclosing an outline cross with squarish limbs and rounded slightly sunk armpits (Fig. 5, 7), all very coarsely picked. The form of the cross appears to be late. 9th century (?).''

Thomas/1994, 71, `An incised encircled outline cross was imposed on one face, probably in the tenth-eleventh century''."|f|BRIDL/1
BROD|1|non-arch dig|1781|inc||in ground|other|Forsyth/1996, 139: `...the grounds of Brodie Castle [NSA Elginshire 221], which is now the property of the National Trust for Scotland. The stone still stands there beneath a wooden shelter at the side of the castle drive'. |slbcr|Forsyth/1996, 141: `A large class II symbol-inscribed cross-slab, sculptured in relief on both sides with ogham inscriptions'. |incomplete|some|Forsyth/1996, 142: `Broken at bottom, portion missing'. |Forsyth/1996|1.87|actual|1.9|actual|0.95|actual|converted|6|1.5|actual|6|2.75|actual|3|1.5|actual||2|Forsyth/1996, 142-144: `The whole front face of the cross is taken up with a cross with small rounded hollows at its armpits...The whole of the cross is outlined in a thick roll-moulding, which is also found up the left hand edge...The cross is decorated with accomplished, complex, and delicate interlacing, unfortunately obliterated in places due to lamination. The pattern consists of a single continous band arranged in a series of knots...The back is dominated by a huger pair of sea-monsters which occupy the full width of the slab and almost half its length. Below that are two massive symbols, a Pictish 'beast' and a double-disc-and-Z-rod'. All are highly decorated in relief...'. |f|BROD/1
BRUGH|1|first mentioned|1857|Callwell, Rev. J.|Macalister/1949, 126, `presented to the Royal Irish Academy in 1857 by Rev. J. Caldwell, and now in the National Museum, Dublin.'|inc|museum|Macalister/1949, 126, `National Museum, Dublin.'|slbns|Macalister/1949, 126, `A rectangular slab'|complete|good||converted|0.69|actual|0.36|actual|0|inc|Macalister/1949|2|3|actual|1|2|actual|0|0|inc||0||f|BRUGH/1
CLHEE|1|recognised|1835|Rev. M. Lane|Power/etal/1997, 171, records that the Rev. Michael Lane tried to decipher an inscription from this site in c. 1835, and that by 1898, it was buried in `one of the big stone heaps at the cemetery'.|lost|lost|Power/etal/1997, 171, records in 1898, it was buried in `one of the big stone heaps at the cemetery'. Not seen since.|pilsp||incomplete|n/a||Power/etal/1997||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|CLHEE/1
BRYNK|1|recognised|1902|unknown|"The stone was brought to the attention of Rhys in 1902 by Mr. R. Pritchard Evans, but none of the reports mentioned exactly who first noticed the inscription revealed when the stone was moved---it was possibly the tennant farmer who had moved it, Evan Jones (Rhys/1903, 255--256---see below).  All the earliest photographs (e.g. Anon/1903, 289, Rhys/1903, 257) show the stone with the text horizontal at the top, but when Rhys first saw the stone it was set on the present right-hand edge, where the ogham inscription is (Rhys/1907, 97). Before publication of the stone, it was moved again and the photographs taken, but  the ogham is not visible in these pictures (Rhys/1903, 258).  In 1904, during a visit of the Cambrian association (Anon/1904, 149), the `Venerable Archdeacon Thomas'' noticed the ogham (Rhys/1907, 97).  Rhys managed to visit the stone again in September 1904 by which time it had been moved once more to the farm-house (Rhys/1907, 97).

Rhys/1903, 256, `The stone may be said now to be a gate post, except that there is no date there; in fact it forms the end of a hedge where a gate or hurdle might be set up.  The farmer found it at a spot not far off, which he showed us; it lay flat with one of its corners protruding inconveniently near a gap in the hedge.  So he undertook to remove it, but he was surprised to find it so large and heavy, and when he got it clear he thought it would do for the unsafe position where I saw it, so he had it placed on a sledge and moved thither without any damage, so far as he knows, occuring to it.''

RCAHMW/1960, 95, `A large stone was found _ca._ 1901 embedded by a gateway...and was set up for use as a gatepost.  A Latin inscription was noticed, and later, when the stone was moved...for safety and set the right way up, an Ogam inscription became visible''."|in ground|other|RCAHMW/1960, 95, `The stone now stands in the farmyard of Llystyn-gwyn.'|pillp|"Rhys/1903, 256--7: `The surface measures parallel to the inscription about 3 feet 6 inches by 3 feet the other way, and in point of thickness thins out from rather more than a foot to 6 inches at the edge farthest from the lettering.  As it then stood [after its first move], the writing reading downwards, near and parallel to the thickest edge of the stone; the opposite edge was both thinner and more irregular, as if the stone had been longer originally in that direction.  The following rough sketch will explain what I mean:

a+----------------------------------------+b
 |                       ICORIFILIVI |
 |                          POTENTI  |
 |                                      NI |
 |                                          |
 |                                          |
 |                                          |
 |                                          |
c+----------------------------------------+d

`The edge _ab_ is the thick one and _cd_ the thinner and more irregular, which makes me fancy the stone has been shortened by the breaking off of a piece along _cd_. ...

`There is ... no certain sign of [the stone] having been broken off along _bd_.  In fact that edge together with _ab_ and _ac_ seem to me to show, with the exception of a certain breakage near the top of _bd_, such rounding that one cannot help concluding that it was so, speaking roughly, when the letters were cut and long before''.

The later find of ogham on edge _bd_ shows that the stone had not been broken or trimmed along that edge.

Nash-Williams/1950, 86, `Rough pillar-stone''.

RCAHMW/1960, 95, `rough pillar-stone of slab shape''."|complete|good|"Despite odd positioning of the text, the stone is probably complete.  Is was perhaps inscribed when partly buried.

RCAHMW/1960, 95, `Condition: fair''."|converted|1.02|visible|1.09|actual|0.36|actual|Macalister/1945|3|4|visible|3|7|actual|1|2|actual||0||f|BRYNK/1
BTOBR|1|first mentioned|1878|G. Petrie||in struct|earliest||pilsp|Macalister/1949, 10, approximates the size of the stone from the illustration provided in Petrie/1878, Plate XL and, noting its current size, concludes that it was cut down prior to being reused as the top step in the stairs leading down to the church door. |frgmntry|some|Macalister/1949, 10, `cut down...showing signs of footwear'.|converted|0.84|actual|0.23|actual||actual|Macalister/1945|2|9|actual|0|9|actual||3|actual||0||f|BTOBR/1
BUCKM|1|first mentioned|1982|unknown|Pearce/1982, 5, 16, states that her attention `was drawn to it first in 1982 by its owner, who suspected what it might be...In 1982 the owner of the land on which this stone stands drew my attention to its existence. The owner is unwilling to allow publiucation of details of the stone's location, other than that it is in the parish of Bucland Monachorum...The stone now stands in a field beside a private farm track...the owner thinks that during the 19th century it may have served as one of the uprights of a linhay or similar farm building...There is no evidence which might suggest whether the stone has ever been moved and, if so, what its original location was. It is possible that it was already in its present position when the barn was built, and that this was its original position'.|in ground|on site|Details of location withheld to prevent visitors. Requests to examine the stone should be addressed to Messrs Wolferstans, Solicitors, 4 Plymouth Road, Tavistock, Devon, PL19 8AY.|pilsp|Okasha/1993, 79, `The stone is an uncarved pillar-stone, probably complete except for some crumbling at the sides'.|complete|good|Okasha/1993, 79, `some crumbling at the sides'.|Okasha/1993|1.73|visible|0.31|actual|0.34|actual|converted|5|8|visible|1|0.25|actual|1|1.5|actual||1|Carving is set close to the left hand edge of the stone (Okasha/1993, 79).|f|BUCKM/1
BURIN|1|arch excav|1870|Dr W. Traill||in display|museum|Forsyth/1996, 187: `In 1871, along with finds from the site, the ogham-inscribed slab was donated to the National Antiquities Museum where it is currently on display'. |slbcr|Forsyth/1996, 189: `..natural flag, roughly shaped'. |complete|poor|Forsyth/1996, 189: `complete but its surface is severely laminated and much has been lost'. |Forsyth/1996|0.7|actual|0.39|actual|0.05|actual|converted|2|3.5|actual|1|3.25|actual|0|2|actual||0|Forsyth/1996, 190: `...the outline of an equal-armed cross (220mm broad), with circular joints and square terminals, on a narrow shaft which disappears into a patch of wear (total extent length c. 370 mm). Several writers have noted the very similar cross (though lacking the shaft) on the altar frpntal from Flotta, one of the most southerly Orkney islands [Thomas 1971: 186-8]'. |f|BURIN/1
BWEEN|1|recognised|1855|rev. J. Goodman|Cuppage et al/1986: `It was discovered within the cashel in 1855...acting as the entrance lintel to the souterrain. Ferguson (1887, 39) stated that the stone had been found in an adjoining killeen but this is not consistent with the various other accounts of its provenance. The stone was smashed into 3 pieces in the 1880's and one fragment was lost. The 2 fragments[are] visible today'. |on ground|on site|Cuppage et al/1986, 194: `This [stone] lies loose on the surface of the cashel, in the vicintiy of the souterrain'. |fragy|Broken into three pieces, of which two survive. |frgmntry|some||converted|1.42|actual|0.57|actual|0.23|actual|Hitchcock/1856|4|8|actual|1|10.5|actual|0|9|actual||0||f|BWEEN/1
CACHU|1|first mentioned|1949|R.A.S. Macalister|Macalister/1949, 79, provides no information regarding the discovery of this stone.|in ground|earliest|Macalister/1949, 79, `Now lying by the side of a mound in the grounds of Shurock, a short distance north of Moate railway station'.|slbcr|Macalister/1949, 79, ` slab'.|complete|good||converted|0.86|actual|0.89|actual|0.15|actual|Macalister/1949|2|11|actual|1|6|actual|0|6|actual||1|Macalister/1949, 79, `a small cross fourchee'.|f|CACHU/1
CALDY|1|non-arch dig|1810|workmen|"The stone was visited by Rhys on Aug. 20 1873 where he read the inscription, noted the ogham, and also commented that one corner of the stone was already loose (Rhys/1873, 7).

Westwood/1879, 106, `the discovery of an inscribed slab of stone, dug up in the ruins of the priory, subsequently used as a window-sill, and which, in 1810, was found in Mr. Kynaston''s garden (Fenton''s Pembrokeshire. p. 458), for an excellent rubbing of which I am indebted to Mr. Mason of Tenby. And it is here proper to remark upon the value of these rubbings, since Mr. Mason informs us that during the short period which has elapsed since the rubbing was made the stone itself has been rendered much less legible than it then was, from exposure to weather since its removal to its present position, having been built into the wall of the chapel on the suggestion of the Rev. Mr. Graves.''  (Repeated from Westwood/1855b.)

Macalister/1945, 405, `dug up in the priory grounds some time before 1811...Used for a time as a window-lintel; then as a garden seat; and finally clamped against the inside face of the rerstored priory chapel, where it is now, at the E. end of the N. side of the nave''."|in display|on site|"Macalister/1945, 405: `it is now, at the the E. end of the N. side of the nave.''

Nash-Williams/1950, 182: ` Inside the Priory church, at E. end of nave on N. side.''

Dark/1992c, 32--33, states the stone remains inside the church."|pillc|Westwood/1879, 106, `the stone is a red sandstone, 5 3/4 feet high and 16 inches wide, the top of the incised cross reaches to the top of the stone, and with the inscription itself occupies three feet of the upper part, leaving the remaining lower portion plain, apparently for the purpose of being affixed in the earth similar to the head-stone of a modern grave.'  (Repeated from Westwood/1855b.)|incomplete|good|Macalister/1945, 405, `The top of the stone has been trimmed away'.|converted|1.73|actual|0.41|actual|0.1|actual|Macalister/1945|5|8|actual|1|4|actual|0|4|actual||4|"Westwood/1876, 106--107, `...the top of the incised cross reaches to the top of the stone, and with the inscription itself occupies three feet of the upper part...Its Christian character is at once shown by the plain Latin cross, a foot in height, incised on its upper portion. The extremities of the two limbs of the cross, which remain perfect, are dilated and somewhat furcate. The simple plainness of this cross offers a remarkable contrast with the usual style in which this sacred emblem is represented, the most elaborate interlaced patterns being ordinarily employed upon it in stones contemporary with the one before us.''  (Repeated from Westwood/1855b.)

RCAHMW/1925, 40, is the only publication to show the cross on the back of the stone (Fig. 80).

Macalister/1945, 405, `and on each of the four sides a plain two-line cross with expanding ends.  These crosses are doubtless a later addition : they were cut when the stone was prostrate, and the carver stood at the upper end when making the cross on the sinister side, so that this cross is upside-down when the stone stands erect.''

Nash-Williams/1950, 180--182, `The face of the stone bears a large well-cut linear Latin cross (incomplete), with slightly splayed terminals (Fig. 6, 8), placed centrally at the top... A Latin cross similar to that in front, but smaller (Fig. 6, ''1), is incised on each of the other faces.''"|f|CALDY/1
CAMP|1|first mentioned|1858|Archdeacon Rowan|Macalister/1945, 168, credits Archdeacon Rowan with the first publication of this stone in 1858, Macalister also states that the stone remains `lying in a field'.|on ground|earliest|"Macalister/1945, 168, `lying in a field''.

Cuppage/etal/1986, 254, `lying prostrate in a field on the W. side of Glenfais''."|slbcr|Cuppage/etal/1986, 254, `a large slab...bears a simple incised cross'.|incomplete|inc||Cuppage/etal/1986|3.4|actual|1.8|actual|0.5|actual|converted|11|1.75|actual|5|10.75|actual|1|7.75|actual||1|Cuppage/etal/1986, 254, `bears a simple incised cross'.|f|CAMP/1
CAMP|2|recognised|1850|Mr Day|"Macalister/1945, 169--170, `Found about the middle of the nineteenth century near Camp, on ground then belonging to Mr. Day of Beaufort House, near Killarney...as far as I know fist appears in print in a passing reference (JRSAI 21 [1891]: 520)...The stone then was, or had been, in use as a gatepst...Mr. Day transferred it to Beaufort, and erected it in his demesne...it remains where he placed it''.

Cuppage/etal/1986, 254, `Precise provenance unknown...A perforation near the top of the stone suggests that it may at one time have functioned as a gate-post''.  "|on ground|earliest|Macalister/1945, 169--170, `Mr Day transferred it to Beaufort, and erected it in his demesne; and although the property has since then passed through several hands, it still remains where he placed it'. |pilsp||incomplete|some|Cuppage et al/1986, 254, `A peforation near the top of the stone...The surface of the stone is very rough'. |Cuppage/etal/1986|1.25|actual|0.48|actual|0.2|actual|converted|4|1.25|actual|1|7|actual|0|7.75|actual||0||f|CAMP/2
CARDM|1|in/on structure|1872|W. Iago|"Langdon/1896, 354 inc. fig, states that the cross was built into the east wall of the chancel and provides a drawing supplied by the Rev. Iago of Bodmin, who first published the stone, showing their position.  Also illustrated is a second disk headed cross which was later attached to the granite pillar CARDM/2.

Okasha/1993, 85: `Until 1872 the cross was imbedded in two pieces in the fifteenth-century chancel wall of the church.  During restoration of the church in that year, the pieces of the cross were removed and the cross re-erected in its present position''."|in ground|other|Okasha/1993, 85, `The stone stands in Cardinham churchyard, near the porch on tyhe south side of the church'.|fccB6|Okasha/1993, 85, states that the cross is complete, but has no base and about 82cm of the shaft is likely to be below ground on comparison with Langdon's measurements.|complete|some|The stone is complete (Okasha/1993, 229).oor and|converted|2.55|visible|0.81|actual||uncertain|Macalister/1949|8|4.25|visible|2|8|actual||10|uncertain||4|"Langdon/1896, 355--357, `The four-holed head is outlined by a bead on the angles of the cross and ring.  On the side of the ring, and in the middle, is a broad projecting fillet... a detail not found on any other example.
 All four sides are deeply sculptured, as follows:--
 Front.--- On the head are remains of knotwork similar to that on the back, but formed of a single instead of a double bead.  Unfortunately, the Stafford knots on the left and lower limbs have nearly disappeared.  The shaft is divided into three panels.  That at the top is inscribed in Saxon miniscules...In the middle panel is a curious interlaced knot, which is much worn in the centre.  The lower panel is much longer than those above, and contains irregular, broken, six-cord plaitwork, with an intervening space between the knots, the whole being very coarsely executed.
   `Left side.--- On the head, and the end of the arm, is a figure-of-eight knot, irregularly terminated at the top.  On the shaft is a continuous panel of interlaced work.  It commences at the top with a three-cord plait, one band of which stops abruptly against another near the bottom.  The other two cords are carried on, and twist, and, the crossings being emphasised by a ring, form a very clear example of the twist-and-ring pattern.
   `Back.--- On the head is a central boss.  Each limb is ornamented with a double-beaded Stafford knot, with the outer bands crossed over at the angle next the central boss and joined to the knots on the arm at either side, thus forming a complete and beautiful interlaced knot.  The only similar instance of this treatment is on No. 4 cross, Sancreed.  On the shaft is a continuous panel of very bold, foliated. and rather squarely formed scrollwork, having a leaf alternately with a ball in the spandrils.  On the main, or outside bead of each scroll, and close to where they bifurcate, is what is probably intended for, and is termed in botany, a `bract,'' or kind of cup, a very common detail in classical ornament.
   `Right side.--- On the head, at the end of the arm, is a Z-shaped key pattern, which might otherwise be looked upon as a pair of twisted bands.  The shaft is divided into two panels of uneven depth, and contains two entirely different patterns.  The upper panel is the shorter, and has a square key pattern, but unlike that on the head, and formed by [interlocking] T''s thus : [figure omitted].  The ornament in the lower panel consists of a debased form of chains and rings.
   `This is `a very peculiar pattern which occurs in Great Britain only in the Isle of Man and adjacent parts of Cumberland and Anglesea.  As the stones in this district are partly Scandinavian, and the same ornament occurs on a rune-inscribed font at Gallstad Church, Westgotland, and is not found on any other of the purely Celtic stones or manuscripts, this design may be fairly said to be of Scandinavian origin.''  [J. R. Allen]
   `Note.--- The Z-shaped key pattern or twist, above referred to occurs also at Gulval and Minister, in Cornwall, at Kirkby Wharfe, in the north of England, and in Scotland and Invergowrie, Kilkerran, Benvie, Liberton, and St. Andrews.''

Macalister/1949, 178: `The devices, which were probably pocked on the stone, are accurately drawn by Langdon, but are now in poor and worn condition : they combine with interlacements of the ordinary type a pattern of running spirals, and a specimen of the ``ring-chain'''' characteristic of the Isle of Man, not elsewhere found in the South or West of England.  The inscription is at the top of the shaft, on the southern face of the stone''."|f|CARDM/1
CARDM|2|recognised|1901|Langdon|Okasha/1993, 88,  states that `the stone stands in Cardinham churchyard. beside the gate' and that the stone was originally described by Iago as a `huge granite monolith'; later described by Langdon/1896, 226, as `leaning against the church-yard wall'; November 1896 a unrelated disk-headed cross was cemented to the pillar which was trimmed to fit.  The disk-headed cross had been removed from the chancel wall during restoration (see Langdon/1896, 354 for drawing).|in ground|on site|Okasha/1993, 88, ` in Cardinham churchyard, beside the gate.'|pilsp|Okasha/1993, `probably pillar-stone'.|complete|some|Okasha/1993, `probably pillar-stone...both the shaft and the cross-head were trimmed before being joined'. |Okasha/1993|1.95|visible|0.42|actual|0.4|actual|Macalister/1945|6|7|visible|1|5|actual|1|4|actual||1|Macalister/1945, 436, `there seems to have been a one line cross at the top'.|f|CARDM/2
CAREW|1|first mentioned|1810|Fenton|"Westwood/1879, 119, `This magnificent cross now stands raised upon a solid stone base by the side of the road in the village of Carew near the toll-gate, and as the adjoining road has been lowered and is rather narrow, the cross, being 14 feet high, towers majestically above the thoroughfare, serving at the same time as an excellent situation for bill-stickers, who use it for their advertisements, and so hide the beauty of the sculpture, rendering necessary an occasional cleansing of the stone, as was recently done by a female relative of mine. The east side of the stone has been incorrectly figured both by Fenton[1] and Donovan[2]. Of the west side, containing the still undeciphered inscription, a careful figure was given by myself in the Journal of the Archaeological Institute in 1846, vol. iii. p. 71.''

The cross was revisited by Rhys in 1894, and again 1895, and by the Royal Commission in 1923.

Macalister/1949, 169, `This monument...now standing in a recess by the roadside, facing the old castle of Carew.  It appears to have been close to its present site since 1822 at least : in recent years it has been set in a recess to guard it against possible injury from motor traffic.''"|in ground|inc|Nash-Williams/1950, 182, `The cross stands in a walled emplacement at the road-side near the entrance to Carew Castle. It is now under the guardianship of H.M. Ministry of Works.'|fccC8e1|"Westwood/1879, 119, `The cross is about 1 foot thick and 14 feet high, the dilated base being 48 inches across, the middle portion of the cross being 30 inches wide, and the diameter of the wheel-cross at the top is 26 inches ; the latter stands on two gradually diminishing steps. The head of the cross is pierced with four holes, like many of the Irish crosses, and on the east side is inscribed with a cross, each limb being formed of three incised lines, the outer ones recurved at a sharp angle at their extremities.''

Macalister/1949, 169--170, `a sculptured cross...The shaft measures 9'' 0'" x 4'' 0'" x 0'' 10'" in maximum dimensions.  The cross which it supports is in a darker coloured stone, of smaller horizontal dimensions, and of inferior workmanship : quite possibly it is not the cross for which the shaft was originally intended.''

Nash-Williams/1950, 182--184, `Free-standing composite slab-cross, comprising a combined wheel-head and splayed and shouldered neck, with tenon below, mounted on a tall splayed shaft with expanded butt. 162+'" h. overall. Shaft, 115'" h. x 50'" w. (above butt), reduced at a height of 22'" by a double offset to 38'" and thereafter diminishing to a final width of 25'" x 13'" t. at base diminishing to 7--8'" at top. Neck, 19 1/2'" h. x 24'" w. at joint, reduced to 18 1/2'" by a double step 8'" above and thereafter narrowing to 17 1/2'" at junction with wheel-head, x 4'" t. Head, 25--7'" diam. (overall, with the arms projecting 2'" beyond wheel) x 4'" t. The wheel-head, of Anglian type, and the shaft are decorated on all faces with carved patterns in low relief (partly defaced by flaking); the shaft is also inscribed. ... Like No. 360, the monument is of special interest as one of the largest and most elaborate of the Welsh crosses, as well as one of the best preserved. The form represents the culminating development of the composite slab-cross, represented elsewhere in S. Wales, by Nos. 159, 222, and 360, to which the present cross stands in close stylistic relationship. Like most of the larger and later Welsh crosses, the monument is characterized by its faulty proportions, the tiny head being clumsily perched on top of a disproportionately tall and wide shaft. It thus lacks at once the slender grace of the best of the Anglian monuments. and the massive shapeliness of the Irish `high crosses''. The decoration comprises a limited range of patterns -broken plaits and knot- work, T-frets, and swastika and diaper key-patterns-of Celtic type but showing indirect Scandinavian influence (looped pattern); the execution is fairly good, but is characterized by coarseness and irregularity, a tendency that becomes increasingly marked in all the later S. Wales crosses. These features combine with the use of late details-ring-twist, looped knotwork, and pellets to place this monument somewhat later than No. 159, and more or less contemporary with No. 360.''"|complete|good|Nash-Williams/1950, 184,  states that this is `one of the best preserved' of the Welsh crosses.|converted|4.11|visible|1.27|actual|0.33|actual|Nash-Williams/1950|13|6|visible|4|2|actual|1|1|actual||4|"Westwood/1879, 119--120, `On the west side (which has been more weathered) the design is nearly defaced, although a small portion of a ribbon-interlacement can be observed on this side. The two chief faces of the base of the cross are divided into compartments, each with a different style of interlaced ornament, of which an inspection of the figures will give a clearer idea than a detailed description. On the upper part of the east side (fig. B) will be observed the curious pattern formed of groups of four T''s arranged with the bottoms of the down-stroke radiating into a geometrical pattern ; which also occurs on the west side just below the wheel of the cross. The middle portion on this side has a modification of the curious Chinese pattern, in parts of which the sculptor had made several mistakes in the carving. This design, which also appears on the south and east sides of the Nevern cross (Plate LXII), is in fast a slight modification of a series of filfot crosses united together by straight raised connecting bars.

In the lower dilated part on this west side is a fascia inclosing a very classical fret ; and below the middle are two tranverse spaces, each measuring 11 inches by 6, the right-hand one being quite plain, and the left-hand one having an inscription ... ''

Macalister/1949, 170, `[The head] is decorated on the face with poor frets and zigzags, but has no ornament on the edges.  The shaft has a running guilloche ornament on each edge.  On the face turned toward the road there are four panels : in the topmost is a ket-pattern founded on a swastika ; in the next there are three groups of pairs of oval loops intersecting ; and below that are two panels of badly designed interlacement.  On the opposite face there are five divisions : in the topmost an irregular, unsymmetrical panel of interlacement ; in the next a very badly drawn key-pattern ; then come two smaller panels, side by side, the dexter one containing the inscription,  the sinister blank ; then a plain fret, with one breach in its monotony , and finally a narrow ``wall of Troy'''' pattern.''

Nash-Williams/1950, 182--184, `_Front._ The head was apparently filled with double-beaded knotwork (mostly flaked away), comprising two-cord twists (R.A. 501) ending in Stafford-knots (R.A. 262 and 269) filling the arm-ends (cf. No. 360). The decoration of the neck and shaft is disposed vertically in moulded panels, two on the neck and five on the shaft: (a) two squares of double-beaded swastika T-frets (R.A. 921);[4] (b) three squares of diaper key-pattern (R.A. 991); (c) fourteen-cord double-beaded plaitwork with irregular breaks and incorporating a row of ring-twist (R.A. 574, a characteristic Viking Age motif); (d) triple vertical band of irregular diagonal swastika key-pattern (R.A. 1010), with interspersed pellets; (e) double horizontal panel-left-hand compartment, inscription (see below), right-hand, blank; (f) twelve-cord (changing below to fourteen-cord) double-beaded plaitwork with single break (bottom l.) and single pellet (bottom r.); (g) horizontal band of double-beaded T-frets (R.A. 900), flanked by short vertical square frets (R.A. 897) filling the shoulders of the butt. _Right_ and _Left._ The head and neck are plain. The shaft is decorated with a narrow vertical panel of four-cord double-beaded plait (R.A. 503). _Back._ The cross-head is filled with a combined outline and linear cross with fretted expansions to the arm-ends. The decoration of the shaft is disposed vertically in panels, two on the neck and four on the shaft: (a) incised quadruple triangular knot or cruciform panel (cf. R.A. 724); (b) narrow horizontal band of opposed moulded triangles;[5] (c) double horizontal row of three squares of plain swastika T-frets (cf. R.A. 921); (d) row of three pairs of interlinked plain oval rings (R.A. 766); (e) fourteen-cord double-beaded plait with irregular breaks and ring-twists (R.A. 574); (f) irregular eight-cord double-beaded looped plaitwork (cf. R.A. 55i) with interspersed pellets, a characteristic Viking Age pattern, found also on No. 190. The lateral expansions of the butt are filled with short vertical square frets (R.A. 892).

`[4] This is an Irish motif, used, for example, on the base of the Ardagh Chalice. CAAI, pl. 52; COIM, p. 43.

`[5] This unusual motif can be closely paralleled on an Irish crosier of the 11th century and on the Shrine of St. Lachtin''s Arm, of similar date. See CAAI, pl. 72 (with Ringerike ornament); CACP, pl. xii.''"|f|CAREW/1
CARHA|2|recognised|1906|J.J. O'Crowley|Macalister/1945, 77, `broken to make them a size suitable for the purposes of the masons. The inscripitions were discovered by Mr. J.J. O'Crowley [in 1096]'.|inc|inc||pilsp|Macalister/1945, 77, `upright pillar'.|incomplete|some|Macalister/1945, 77, `broken to make them a size suitable for the purposes of the masons'.|converted|0.79|actual|0.2|actual|0.18|actual|Macalister/1945|2|7|actual|0|8|actual|0|7|actual||0||f|CARHA/2
CARHA|3|recognised|1976|J.P. McCarthy|Power/etal/1992, 124, `found by [J.P.] McCarthy in 1976...used as pillar stone in Chamber 1'.|on ground|earliest|From Power/etal/1992, 124, it seems the stone remains within the souterrain.|pilsp|Power/etal/1992, 124, `pillar stone'.|inc|inc||Power/etal/1992||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|CARHA/3
CARIN|1|recognised|1939|P.F. O'Neill|"Macalister/1945, 223--224, `It was first noticed by Mr. P.F. O''Neill, of Caherciveen, buried to within about a foot of its top in a low mound of sand covered with earth and stones...Mr. O''Neill suggested to me that some abrasions on the edge seemed to suggest that the stone had been dragged to its present position with a rope - possibly from the ancient cemetery of Killogrone nearby''.

OSullivan/1996, 240, `When first noted, only its upper .45m protruded from the peat-cover of the slope; the stone was subsequently dug out (The Kerryman, 20/5/1939)...it now stands''."|in ground|on site|OSullivan/1996, 240, `it now stands [at the site].|pilsp||incomplete|some|Macalister/1945, 223--224, `the original top of the stone is broken off and the dexter edge is completely spalled away'. |converted|1.37|actual||actual||actual|Macalister/1945|4|6|actual|1||actual||8|actual||0||f|CARIN/1
