"SITE"|"NAME"|"CEL_NAME"|"PLACE"|"CEL_PLACE"|"PARISH"|"CEL_PARISH"|"COUNTY"|"CEL_COUNTY"|"COUNTRY"|"HEIGHTOD"|"SITE_TYPE"|"SITE_DESCR"|"SITE_HISTO"|"Site Address"|"grid"|"easting"|"northing"|"lat"|"lon"
"CHEIL"|"Capel Heilin"|"Capel Heilin"|"Capel Heilin"|"Capel Heilin"|"Llangefni"|"Llangefni"|"Anglesey"|"Sir Fon"|"Wales"|NULL|"eccle"|"Macalister/1945, 308: `At Capel Heilyn, township of Trefllwyn, parish of Llangefni, there was a chapel which fell into ruin in the eighteenh century'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CHFLD"|"Churchfield"|"Pairc an Teampaill"|"Churchfield"|"Pairc an Teampaill"|"Kinard"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"ind"|"Cuppage/etal/1986, 254, note that the first recorded location of the stone was as a lintel. Its original location is unknown."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CHLAR"|"Churchclara"|"Churchclara"|"Churchclara"|"Churchclara"|"Gowran"|"inc"|"Kilkenny"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1945, 33, `the ruined church'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CHUIS"|"Church Island"|"Oilean an Teampaill"|"Church Island"|"Oilean an Teampaill"|"Ballycarbery West"|"Baile Ui Chairbre Thiar"|"Kerry"|"inc"|"Ireland"|NULL|"cemet"|NULL|"For a discussion of the site see OKelly/1959, 57--87 and OSullivan/etal/1996, 253--258."|NULL|NULL|NULL|NULL|NULL|NULL
"CILGN"|"Cilgerran"|"inc"|"Cilgerran"|"inc"|"Cilgerran"|"inc"|"Pembrokeshire"|"Sir Benfro"|"Wales"|NULL|"eccle"|"RCAHMW/1925, 69, `The present building, with the exception of the tower, is modern, having been erected in 1853, in place of one which dated only from 1839.  The latter had ``for reasons of safety to be levelled with the ground'' ...

`The western tower (17 feet square) is of three storeys, with corbel table and renewed battlements ; it is a good example of the Pembrokeshire tower of the 13th century.  The west door has been modernised.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLARD"|"Clonard"|"inc"|"Clonard"|"inc"|"Upper Moyfenrath"|"inc"|"Meath"|"Mi"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLASH"|"Clashygowan"|"Clashygowan"|"Clashygowan"|"Clashygowan"|"Clashygowan"|"inc"|"Donegal"|"Donegal"|"Ireland"|NULL|"soutn"|"Lacy et al/1983, 233: `In 1956 a souterrain was reported here. It was about 14ft long x 4 ft deep x 3ft wide. Halfway along, the passage narrowed to about 2ft 2in and then widened again. It was built of stone and the report suggests that there were indications of other such structures, possibly other chambers, on the site also'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLBON"|"Clonbroney"|"Clonbroney"|"Clonbroney"|"Clonbroney"|"Lower Duleek"|"inc"|"Meath"|"Mi"|"Ireland"|NULL|"cemet"|"Macalister/1949, 33: `...the old graveyard of Clonbroney'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLCAH"|"Cloganecarhane"|"Clochan Carthainn"|"Cloganecarhane"|"Clochan Carthainn"|"Iveragh"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"settl"|"Macalister/1945, 224, `ring-fort'.

OSullivan/1996, 267, `Located on a gentle S facing slope at the foot of Foilclogh mountain, on the E bank of a small stream, this site provides broad views acorss boglands to Ballinskelligs Bay...it is approximately circular in plan and is enclosed by a bank which features an entrance at E and an arrangment of pillars at W. This latter feature may represent a second entrance. Within the interior is a circular hut, three possible leachta and a cross slab. An ogham stone is now located outside the E. entrance, and a souterrain was recently revealed immediately outside the enclosure at WNW'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLGHI"|"Cloghinch"|"inc"|"Cloghinch"|"inc"|"Ormond"|"inc"|"Tipperary"|"inc"|"Ireland"|NULL|"settl"|"Raftery/1967, 219, `on a slight rise in a field about one hundred yards from the right bank of the Nenagh River'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLHEE"|"Cloheena"|"Cloheena"|"Cloheena"|"Cloheena"|"West Muskerry"|"inc"|"Cork"|"Chontae Chorcai"|"Ireland"|NULL|"cemet"|"Power/etal/1997, 171, `back entrance to a burial ground'.
OS 69:0:0"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLMAC"|"Clonmacnoise"|"Clonmacnoise"|"Clonmacnoise"|"Clonmacnoise"|"Clonmacnoise"|"inc"|"Leinster"|"inc"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLMOR"|"Clonmore"|"Clonmore"|"Clonmore"|"Clonmore"|"Rathvilly"|"inc"|"Carlow"|"inc"|"Ireland"|NULL|"cemet"|"Harbison/1991, 177-200, gives a good introduction to this site and its history."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLONC"|"Clonca"|"inc"|"Clonca"|"inc"|"East Inishowen"|"inc"|"Donegal"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1949, 115--116, notes that the site is a ruined church."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLONM"|"Clonmacnoise"|"Clonmacnoise"|"Clonmacnoise"|"Clonmacnoise"|"Clonmacnoise"|"inc"|"Ofally"|"inc"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLOOM"|"Cloonmorris"|"Cloonmorris"|"Cloonmorris"|"Cloonmorris"|"Mohill"|"Mohill"|"Leitrim"|"Leitrim"|"Ireland"|NULL|"eccle"|"Macalister/1945, 3, `E. gable of the ruined church'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLOON"|"Cloon Island"|"inc"|"Cloon Island"|"inc"|"Clanwilliam"|"inc"|"Limerick"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1949, 98, `a small, plain ruined church on this island'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CLYDI"|"Clydai"|"inc"|"Clydai"|"inc"|"Clydai"|"inc"|"Pembrokeshire"|"Sir Benfro"|"Wales"|NULL|"eccle"|"Westwood/1879, 122, `The churchyard of Clydey or Clydai, six miles to the south-west of Newcastle Emlyn'.

RCAHMW/1925, 74, `This church has been several times restored and renovated during the past half-century, so that  few of its original features remain.  It consists of chancel, nave, south aisle and west tower.  The south aisle is known as Capel Mair.  In the south wall of this aisle is an aumbry, 15 inches square; and in the north wall of the nave are the entrance and three of the stairs to the former rood loft; while in the south wall, by the side of a now closed door, is a stoup.  The tower, a square of 17 feet 6 inches, is of two storeys, the ground floor being vaulted, and 4 feet below the level of the nave.  The belfry originally opened into the nave by a pointed arch, now blocked.  The battlements have been renewed.  The font basin is set upon a modern base; it measures 22 inches by 20 inches, with a depth of 18 inches.  It bears an ornament of similar design to that on one of the memorial stones at St. Dogmael's abbey.  The fragments of stained glass noticed by Sir Stephen Glynne in 1860 have been removed.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CMBRN"|"Camborne"|"inc"|"Camborne"|"inc"|"Camborne"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"eccle"|"Okasha/1993, 82, `church of St Martin and St Meriadoc, Camborne'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CNWYL"|"Cynwyl Gaeo"|"Cynwyl Gaeo"|"Cynwyl Gaeo"|"Cynwyl Gaeo"|"Cynwyl Gaeo"|"Cynwyl Gaeo"|"Carmarthenshire"|"Caerfyrddin"|"Wales"|NULL|"eccle"|NULL|"Jones/1994, 81-95, argues that Cynwyal Gaeo was an important centre in the 6th and 7th centuries, and that at least one of the reasons for this was its proximity to the Dolaucothi gold mines. He argues that many of the marginal charters in the Book of Chad concerned this area when the Book was at Llandeilo.  Jones also notes a papal Bull from c. 1130 which mentions a 'caircaiau', or Fort of Caeo.

Wyn Evans/1992, 249, 'could it be that Caeo was once the mother church of Cantref Mawr, to be eclipsed first of all by Llandeilo and then by Talyllychau...in this connexion it is worth noting that Chad 3 and Chad 4...are grants to God and St. Teilo of lands in the parish of Caeo'."|NULL|NULL|NULL|NULL|NULL|NULL
"COBOY"|"Corkaboy"|"inc"|"Corkaboy"|"inc"|"Trughanacmy"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 244, `the inner chamber of a souterrain'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COHIL"|"Cockhill"|"inc"|"Corkhill"|"inc"|"Iraghticonor"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1945, 222, `the old churchyard of Kilnaughtin on this townland'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COLIN"|"Colbinstown"|"Colbinstown"|"Colbinstown"|"Colbinstown"|"Narragh and Reban East"|"inc"|"Kildare"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 22: `The ancient cemetery of _Cillin Cormaic_ (Killeen Cormac), near the railway station at Colbinstown'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COOGH"|"Aghabulloge"|"inc"|"Coolineagh"|"inc"|"East Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1945, 103, 105, refers to the site as `the graveyard of the now ruined Protestant parish church of Aghabulloge', which itself replaced an earlier eighteenth century church'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COOLE"|"Cool East"|"An Chuil Thoir"|"Cool East"|"An Chuil Thoir"|"Iveragh"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 224, `the old graveyard of Killeendreena'.

OSullivan/etal/1996, 274, `The enclosed area which measures 47m N-S x 42m E-W, slopes gently towards S and contains the foundations of five huts, an ogham stone, a shrine and a holed stone. NUmerous uninscribed grave-markers occur in the Se and S portions of the site'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COOLH"|"Cooldorragha"|"inc"|"Cooldorragha"|"inc"|"West Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 127--128, `In a soutterrain...in a field to the west of the Village Church. The cave is now closed.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COOLM"|"Coolmagort"|"inc"|"Coolmagort"|"inc"|"Dunkerron North"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 191, `souterrain'.

OSullivan/etal/1996, 227, `souterrain...a short distance W of the river Loe...the accessible section of its passage was c. 5.7m in overall length and averaged 1.3m in height...Access was gained through an opening at S, where the passage was 7 feet (2.15m) wide. From here it curved to NE, decreasing in width to 3 feet 3 inches (1m). The walls were of dryston construction and inclined slightly to reduce the passge width at rood level'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CORRO"|"Corrower"|"Corrower"|"Corrower"|"Corrower"|"Gallen"|"inc."|"Mayo"|"inc."|"Ireland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COTTS"|"Cotts"|"inc"|"Cotts"|"inc"|"Forth"|"inc"|"Wexford"|"Loch Garman"|"Ireland"|NULL|"lands"|"Macalister/1945, 48, `Two stones, one of red granite, rectangular in horizontal section...the second of the local grit...standing at a distance of 3'9'' apart. Between them is a boulder of bluestone...Excavation showed that the first stone is sunk to a depth of 1'6'', the second 1'10'': and that the intervening space is filled with a packing of rounded stones of the average size of a man's fist. No trace of an internment discovered'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"COYCH"|"Coychurch"|"Llangrallo"|"Coychurch"|"Llangrallo"|"Baglan"|"Morg"|"Glamorganshire"|"Sir Morgannwg"|"Wales"|NULL|"eccle"|"Descriptions of the church, given to the `Cambrians' during their visits in 1888 and 1928, are provided in their reports (Anon/1888, 401--403, Anon/1928, 387--388)."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRAG"|"Crag"|"inc"|"Crag"|"inc"|"Trughanacmy"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 246, `the farm of Currans, about a mile from Farranore railway station'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRAI"|"Pentrey Goch"|"inc"|"Pentrey Goch"|"inc"|"Crai"|"Crai"|"Brecknockshire"|"Sir Brycheiniog"|"Wales"|NULL|"ind"|"Lhwyd/1910, 85: `In a garden at Pentry Goch garreg in ye parish of Dyvynog, Brecknock'.

`This formerly belonged to an old chappel by report call'd Cappel y fynwent.'

Nash-Williams/1950, 69, cites Llwyd's _Parochialia_ and adds: `(? = Goch Garreg on the W. outskirts of Crai).'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRCKH"|"Ty-yn-y-wlad"|"Ty-yn-y-wlad"|"Ty-yn-y-wlad"|"Ty-yn-y-wlad"|"Crickhowell"|"Crug Hywel"|"Brecknockshire"|"Sir Brycheiniog"|"Wales"|NULL|"modsc"|"Westwood/1847, 25--27 discusses the Parish briefly, then gives a very full description of how to find the stone.

Nash-Williams/1950, 69: `Found `on the farm of Ty-yn-y-wlad, about a mile to the north-east of Crickhowell'.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRCOM"|"Carncome"|"inc"|"Carncome"|"inc"|"Lower Antrim"|"inc"|"Antrim"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 297, `...a souterrain 26' 6"" long...now closed...For a description of the souterrain itself, reference should be made to...[PRIA 1900, 22: 265]'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CREHS"|"Crehanagh South"|"inc"|"Crehanagh South"|"inc"|"Middle Third"|"inc"|"Waterford"|"inc"|"Ireland"|NULL|"lands"|"Macalister1945, 293, notes that the stone `is in a field on the left-hand side of the field road', itself `on the left-hand side of the main road from Carrick Beg National School and some houses near'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRGHH"|"Curraghnagarraha"|"inc"|"Curraghnagarraha"|"inc"|"Middle Third"|"inc"|"Waterford"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 294, `the eastern entrance of the graveyard of the ruined church of Temple (F)enoach'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRGUL"|"Carrigagulla"|"inc"|"Carrigagulla"|"inc"|"West Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 126, `a bog on this townland'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRNLO"|"Crinnaloo"|"inc"|"Crinnaloo"|"inc"|"West Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 128--129, `Several standing stones are marked on the O.S. map on the lands of Crinnaloo, all of them now removed by a decree of the Board of Agriculture (so the farmer informed me) to avoid the risk of infection passing beteen cattle using them as scratching-posts. But he also told me that these particular standing stones were not of genuine antiquity, but had all  been erected in recent years to serve as scratching-posts, with one exception - a very tall stone in a ringfort called )_ Lisagallaun_'.   "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CRSER"|"Crushterra"|"inc"|"Crushterra"|"inc"|"East Carbery"|"inc"|"Cork"|"Chorchai"|"Ireland"|NULL|"lands"|"Power/etal/1992, 124, `rough grazing on N-facing slope'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CSKEE"|"Castlekeeran"|"inc"|"Castlekeeran"|"inc"|"Upper Kells"|"inc"|"Meath"|"Mi"|"Ireland"|NULL|"eccle"|"Macalister/1945, 46, `the old cemetery of St. Ciaran's, about three miles from Kells'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CSMO"|"Castletimon"|"Castletimon"|"Castletimon"|"Castletimon"|"Arklow"|"inc"|"Wexford"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 51, `side of the road running inland from Brittas Bay'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CSTGR"|"Castlegrace"|"Castlegrace"|"Castlegrace"|"Castlegrace"|"Rathvilly"|"inc"|"Carlow"|"inc"|"Ireland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"CSTLD"|"Castledore"|"inc"|"Castledore"|"inc"|"Tywardreath"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"lands"|"Earliest location is recorded by Leland (c. 1540) as about 1 mile from Castledore (Okasha/1993, 91)."|"Radford/1951, 1-119, and Rahtz/1971, 49-54, discuss the site of Castle Dore, an Iron Age hillfort, possibly re-used in the early middle ages."|NULL|NULL|NULL|NULL|NULL|NULL
"CUBRT"|"Cubert"|"inc"|"Cubert"|"inc"|"St Cubert"|"inc"|"Cornwall"|"Kernow"|"England"|NULL|"eccle"|"Okasha/1993, 97, seems to indicate that the stone may only have arrived in its present position in the nineteenth century. If so any discussion of an `original' site becomes very difficult."|"Okasha/1993, 97, discusses a fifteenth century church tower at the site."|NULL|NULL|NULL|NULL|NULL|NULL
"CURMO"|"Curraghmore West"|"inc"|"Curraghmore West"|"inc"|"Dunkerron"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 198, `a field at the upper end of the townland'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DEELI"|"Deelish"|"inc"|"Deelish"|"inc"|"East Muskerry"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 107, `an old burial ground on this townland'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DEGAS"|"Derrygarrane South"|"inc"|"Derrygarrane South"|"inc"|"Dunkerron South"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 213, `Two stones, one of them inscribed with Oghams, were discovered in 1847 upon a rough uncultivated moorland, lying inside a circle of small stones - presumably a grave enclosure with a fence surrounding a head - and footstone'. 

OSullivan/etal/1996, 57, `The site is located in rough pasture, a short distance N of the Derreendarragh river, and now consists of an earth and stone mound with a large prostrate slab on its surface'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DELGA"|"Delgany"|"inc"|"Delgany"|"inc"|"Rathdown"|"inc"|"Wicklow"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1949, 87: `...the old churchyard of Delgany'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DENAN"|"Derrynane"|"inc"|"Derrynane"|"inc"|"Dunkerron South"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 214, records that this stone was `recently' re-erected by the Office of Public Works from its bed in the sand below the tide-mark `on the shore close by'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DERIV"|"Derrgavin"|"inc"|"Derrygavin"|"inc"|"Dunkerron North"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 199, `the wood called Askive Woods, below Askive House, opposite Parknasilla, formerly the Bishop's residence'.

OSullivan/etal/1996, 242, `The original location of this Ogham stone...is unknown'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DFYNG"|"Defynnog"|"inc"|"Defynnog"|"inc"|"Defynnog"|"inc"|"Brecknockshire"|"Sir Brycheiniog"|"Wales"|NULL|"eccle"|"Westwood/1876, 65: `The beautifully situated church of Devynock is interesting on account of the inscribed stone inserted in the south-west angle of the outside of the tower, as well as of the font ...'

Nash-Williams/1950, 69: `Church'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DINGL"|"Dingle"|"An Daingean"|"Dingle"|"An Daingean"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Cuppage et al/1986, 254--255, `the bed of a stream which runs past the parochial school of Dingle'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DKEAR"|"Dromkeare"|"Drom Caor"|"Dromkeare"|"Drom Caor"|"Iveragh"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 227, gives no information as to the site.

OSullivan/etal/1996, 276, `Burial Ground. The site is located in poor land on the W bank of the Cummeragh river, a short distance above its entry into Lough Currane. It consists of a heavily overgrown enclosure containing a cross-inscribed ogham stone and numerous uninscribed grave-markers'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DLEEK"|"Duleek"|"Duleek"|"Duleek"|"Duleek"|"Lower Duleek"|"inc"|"Meath"|"Mi"|"Ireland"|NULL|"eccle"|"Macalister/1949, 33: `the chapel of St. Kevin'. 

Moore/1987, 132: `Foundation of a building (dims. c.12m NE-SW, 6.3m NW-SE) with doorway in S wall and early Christian slab incorporated in N wall. Earlier walls visible under N wall. Identified as St Patrick's Church'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DNARD"|"Donard"|"Donard"|"Donard"|"inc"|"Lower Talbotstown"|"inc"|"Wicklow"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 52: `A rectangular block of stone...formerly standing beside another stone (at a distance of 1' 6""), uninscribed, on the farm called Old Mills, south of the village of Donard'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DNBUL"|"Dunbulloge"|"inc"|"Dunbulloge"|"inc"|"Barrymore"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 65, `the middle of a field at a road-fork opposite the old church and cemetery'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DNMOR"|"Donaghmore"|"Donaghmore"|"Donaghmore"|"Donaghmore"|"North Salt"|"inc"|"Kildare"|"inc"|"Ireland"|NULL|"eccle"|"Macalister/1945, 30: `...the old church of Donaghmore, near Carton'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DNWAY"|"Dunmanway"|"inc"|"Dunmanway"|"inc"|"East Carbery"|"inc"|"Cork"|"inc"|"Ireland"|NULL|"soutn"|"McManus/1991, 72, states that the site is a souterrain near Dunmanway, Barony of East Carbery, Co. Cork."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DOOGH"|"Dooghmakeon"|"Dooghmakeon"|"Dooghmakeon"|"Dooghmakeon"|"Murrisk"|"inc"|"Mayo"|"inc"|"Ireland"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DRCOM"|"Drumconwell"|"inc"|"Drumconwell"|"inc"|"Lower Fews"|"inc"|"Armagh"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 298, `Drumconwell townland''."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DRLUS"|"Dromlusk"|"inc"|"Dromlusk"|"inc"|"Dunkerron South"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 215, `trackless bogland'.

OSullivan/etal/1996, 55, `This stone pair...is situated on a slight rise in a sizeable tract of bog on the NE slopes of Knocknagullion, overlooking the valley of the Blackwater river to E. Set 1.33m apart the stones stand in a NNE-SSW line.'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DROMR"|"Dromore"|"inc"|"Dromore"|"inc"|"Decies within Drum"|"inc"|"Waterford"|"inc"|"Ireland"|NULL|"cemet"|"Macalister/1945, 261, `An ancient cemetery called Kiltera is situated on this townland'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DROUK"|"Dromatouk"|"inc"|"Dromatouk"|"inc"|"Glanarought"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 218, `a moderately high but steep hillock'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DROYN"|"Drumoyne"|"inc"|"Drumoyne"|"inc"|NULL|"inc"|"North Lanarkshire"|"inc"|"Scotland"|NULL|"modsc"|"Forsyth/1996, 511: `...a gatepost at West Drumoyne farm [NS 548657], just south of Fairfield Govan, very close to the river Clyde and near Govan Old Church'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DRUML"|"Drumlohan"|"inc"|"Drumlohan"|"inc"|"Decies without Drum"|"inc"|"Waterford"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 267--268, `Ten Ogham-inscribed pillar-stones, apparently converyed from an ancient cemetery-enclosure in the immediate neighbourhood, had been used in the construction of an underground chamber'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DRUMM"|"Drummin"|"Drummin"|"Drummin"|"Drummin"|"Castlereagh"|"inc."|"Roscommon"|"inc."|"Ireland"|NULL|"lands"|"Macalister,1945, 16: `...a copse on trhe left-hand side of the road from Belnaggare to Rathcroghan'. 

Gippert/Web, Ogham 11: ` the surroundings have changed in the way that the copse has been cultivated and forms a field; it obviously belongs to the nearby farmhouse called 'The Long Acre'.  The location is not as close to the (national) road as Macalister's description suggests, but it can be easily accessed from the first road turning to the left after leaving Bellanagare'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUNAD"|"Dunadd"|"inc"|"Dunadd"|"inc"|"Kilmichael Glassary"|"inc"|"Argyll"|NULL|"Scotland"|NULL|"settl"|"Forsyth/1996, 227--228: `The fortress of Dunadd, _Dun Ad_, 'fort of the river Add', [Watson 1926: 45]...The nucleated fort s situated on an isolated rocky hilltop, 54 m OD, above the flood plain of the meandering Add, 6 km north-west of Lochgoilhead'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUNAL"|"Dunalis"|"inc"|"Dunalis"|"inc"|"Coleraine"|"inc"|"Londonderry"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 304, `Close to the western boundary of the Coleraine and Portstewart Reservoir there is a souterrain consisting of three chambers with transverse passages. In the second of these chambers one of the roofing stones...was found...to bear Ogham letters'."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUNB"|"Dunbell Big"|"inc"|"Dunbell Big"|"inc"|"Gowran"|"inc"|"Kilkenny"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 34, describes the site as a 'ring-fort' cleared off the land last century."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUNER"|"Dunleer"|"inc"|"Dunleer"|"inc"|"Ferrard"|"inc"|"Louth"|"inc"|"Ireland"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUNGM"|"Dungummin"|"inc"|"Dungummin"|"inc"|"Clanmahon"|"inc"|"Cavan"|"inc"|"Ireland"|NULL|"lands"|"Macalister/1945, 300, footnote 1, `I had some difficulty in finding this stone, so note here the following directions.  Take the road from Oldcastle to Kilnaleck.  At the cross-roads beyond Castlecor take the road to the right, towards Mount Prospect : at the next cross-roads turn yet again to the right, and the stone will be seen in the field to the left, at a few yards from the road.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUPLN"|"Dupplin"|"inc"|"Dupplin"|"inc"|"Forteviot"|"inc"|"Perthshire"|"inc"|"Scotland"|NULL|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"DUROW"|"Durrow"|"Durrow"|"Durrow"|"Durrow"|"Ballybrit"|"inc"|"Offaly"|"inc"|"Ireland"|NULL|"eccle"|"Harbison/1992, 79: `...to the west of the now disused Protestant church...the site of this ancient monastery'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
